,cycle,species,biomass
0,40,Pseudomonas_phenolilytica,1.744021695
1,40,Mariniplasma_anaerobium,0.981694012
2,40,Mariniphaga_anaerophila,30.58209475
3,40,Methanosarcina_acetivorans,0.948878729
4,40,Methanobacterium_formicicum,0.950387015
5,40,Dielma_fastidiosa,5.243157145
6,40,Tepidimonas_charontis,0.948878729
7,40,Gudongella_oleilytica,3.660557951
8,40,Dechloromonas_aromatica,0.95083839
9,40,Longilinea_sp.,0.980586893
10,40,Hydrogenophaga_aromaticivorans,6.318876987
11,40,Petrimonas_mucosa,0.959301722
12,40,Neobacillus_niacini,17.25752151
13,40,Clostridium_fungisolvens,28.47320446
14,41,Pseudomonas_phenolilytica,1.72450378
15,41,Mariniplasma_anaerobium,1.013729098
16,41,Mariniphaga_anaerophila,30.5369009
17,41,Methanosarcina_acetivorans,0.969729381
18,41,Methanobacterium_formicicum,0.972605882
19,41,Dielma_fastidiosa,5.290386801
20,41,Tepidimonas_charontis,0.97296209
21,41,Gudongella_oleilytica,3.742254917
22,41,Dechloromonas_aromatica,0.926392627
23,41,Longilinea_sp.,1.013078248
24,41,Hydrogenophaga_aromaticivorans,5.876909336
25,41,Petrimonas_mucosa,0.985013562
26,41,Neobacillus_niacini,16.73904321
27,41,Clostridium_fungisolvens,29.23649017
28,42,Pseudomonas_phenolilytica,1.703064506
29,42,Mariniplasma_anaerobium,1.063314383
30,42,Mariniphaga_anaerophila,30.456183
31,42,Methanosarcina_acetivorans,0.993056482
32,42,Methanobacterium_formicicum,0.99610863
33,42,Dielma_fastidiosa,5.329934671
34,42,Tepidimonas_charontis,1.004091679
35,42,Gudongella_oleilytica,3.828827118
36,42,Dechloromonas_aromatica,0.902097337
37,42,Longilinea_sp.,1.061663076
38,42,Hydrogenophaga_aromaticivorans,5.459448775
39,42,Petrimonas_mucosa,1.013420345
40,42,Neobacillus_niacini,16.21408931
41,42,Clostridium_fungisolvens,29.97470068
42,43,Pseudomonas_phenolilytica,1.681202046
43,43,Mariniplasma_anaerobium,1.119630089
44,43,Mariniphaga_anaerophila,30.3544069
45,43,Methanosarcina_acetivorans,1.020213757
46,43,Methanobacterium_formicicum,1.021767436
47,43,Dielma_fastidiosa,5.366101973
48,43,Tepidimonas_charontis,1.043745849
49,43,Gudongella_oleilytica,3.923183658
50,43,Dechloromonas_aromatica,0.878814924
51,43,Longilinea_sp.,1.115997418
52,43,Hydrogenophaga_aromaticivorans,5.069187426
53,43,Petrimonas_mucosa,1.041657006
54,43,Neobacillus_niacini,15.69523692
55,43,Clostridium_fungisolvens,30.6688546
56,44,Pseudomonas_phenolilytica,1.65910975
57,44,Mariniplasma_anaerobium,1.179875594
58,44,Mariniphaga_anaerophila,30.23059578
59,44,Methanosarcina_acetivorans,1.051257323
60,44,Methanobacterium_formicicum,1.049637813
61,44,Dielma_fastidiosa,5.399420488
62,44,Tepidimonas_charontis,1.092411926
63,44,Gudongella_oleilytica,4.025891406
64,44,Dechloromonas_aromatica,0.856521349
65,44,Longilinea_sp.,1.174199867
66,44,Hydrogenophaga_aromaticivorans,4.703535012
67,44,Petrimonas_mucosa,1.068923608
68,44,Neobacillus_niacini,15.18435565
69,44,Clostridium_fungisolvens,31.32426443
70,45,Pseudomonas_phenolilytica,1.63671361
71,45,Mariniplasma_anaerobium,1.243161383
72,45,Mariniphaga_anaerophila,30.08448578
73,45,Methanosarcina_acetivorans,1.08602961
74,45,Methanobacterium_formicicum,1.079663982
75,45,Dielma_fastidiosa,5.429798046
76,45,Tepidimonas_charontis,1.150323689
77,45,Gudongella_oleilytica,4.136976932
78,45,Dechloromonas_aromatica,0.835044107
79,45,Longilinea_sp.,1.236140807
80,45,Hydrogenophaga_aromaticivorans,4.361011735
81,45,Petrimonas_mucosa,1.095246529
82,45,Neobacillus_niacini,14.68179111
83,45,Clostridium_fungisolvens,31.94361268
84,46,Pseudomonas_phenolilytica,1.613935582
85,46,Mariniplasma_anaerobium,1.3100206
86,46,Mariniphaga_anaerophila,29.91907159
87,46,Methanosarcina_acetivorans,1.122054125
88,46,Methanobacterium_formicicum,1.11198333
89,46,Dielma_fastidiosa,5.457517223
90,46,Tepidimonas_charontis,1.215071002
91,46,Gudongella_oleilytica,4.256533955
92,46,Dechloromonas_aromatica,0.813701919
93,46,Longilinea_sp.,1.301108562
94,46,Hydrogenophaga_aromaticivorans,4.040734516
95,46,Petrimonas_mucosa,1.120882376
96,46,Neobacillus_niacini,14.18885039
97,46,Clostridium_fungisolvens,32.52853483
98,47,Pseudomonas_phenolilytica,1.590729821
99,47,Mariniplasma_anaerobium,1.381521624
100,47,Mariniphaga_anaerophila,29.73441379
101,47,Methanosarcina_acetivorans,1.159313853
102,47,Methanobacterium_formicicum,1.146511344
103,47,Dielma_fastidiosa,5.482348964
104,47,Tepidimonas_charontis,1.287138903
105,47,Gudongella_oleilytica,4.384401814
106,47,Dechloromonas_aromatica,0.792483118
107,47,Longilinea_sp.,1.36991123
108,47,Hydrogenophaga_aromaticivorans,3.741435806
109,47,Petrimonas_mucosa,1.145997009
110,47,Neobacillus_niacini,13.70535841
111,47,Clostridium_fungisolvens,33.07843431
112,48,Pseudomonas_phenolilytica,1.566984628
113,48,Mariniplasma_anaerobium,1.458643404
114,48,Mariniphaga_anaerophila,29.52913065
115,48,Methanosarcina_acetivorans,1.197752107
116,48,Methanobacterium_formicicum,1.183130119
117,48,Dielma_fastidiosa,5.503800801
118,48,Tepidimonas_charontis,1.366992728
119,48,Gudongella_oleilytica,4.520144959
120,48,Dechloromonas_aromatica,0.773636893
121,48,Longilinea_sp.,1.443257854
122,48,Hydrogenophaga_aromaticivorans,3.462774594
123,48,Petrimonas_mucosa,1.170670596
124,48,Neobacillus_niacini,13.23074603
125,48,Clostridium_fungisolvens,33.59233464
126,49,Pseudomonas_phenolilytica,1.542729513
127,49,Mariniplasma_anaerobium,1.54235663
128,49,Mariniphaga_anaerophila,29.30416585
129,49,Methanosarcina_acetivorans,1.237191132
130,49,Methanobacterium_formicicum,1.221815231
131,49,Dielma_fastidiosa,5.521818205
132,49,Tepidimonas_charontis,1.455110875
133,49,Gudongella_oleilytica,4.663466168
134,49,Dechloromonas_aromatica,0.754742203
135,49,Longilinea_sp.,1.521908717
136,49,Hydrogenophaga_aromaticivorans,3.202504222
137,49,Petrimonas_mucosa,1.195033225
138,49,Neobacillus_niacini,12.76533538
139,49,Clostridium_fungisolvens,34.07182264
140,50,Pseudomonas_phenolilytica,1.517953724
141,50,Mariniplasma_anaerobium,1.633559522
142,50,Mariniphaga_anaerophila,29.0596924
143,50,Methanosarcina_acetivorans,1.277326954
144,50,Methanobacterium_formicicum,1.262472676
145,50,Dielma_fastidiosa,5.536229353
146,50,Tepidimonas_charontis,1.552010456
147,50,Gudongella_oleilytica,4.813862835
148,50,Dechloromonas_aromatica,0.73575429
149,50,Longilinea_sp.,1.606460459
150,50,Hydrogenophaga_aromaticivorans,2.959582
151,50,Petrimonas_mucosa,1.21912777
152,50,Neobacillus_niacini,12.30861071
153,50,Clostridium_fungisolvens,34.51735685
154,51,Pseudomonas_phenolilytica,1.492635703
155,51,Mariniplasma_anaerobium,1.733079045
156,51,Mariniphaga_anaerophila,28.79564755
157,51,Methanosarcina_acetivorans,1.318039931
158,51,Methanobacterium_formicicum,1.305046696
159,51,Dielma_fastidiosa,5.546827259
160,51,Tepidimonas_charontis,1.65821001
161,51,Gudongella_oleilytica,4.970696092
162,51,Dechloromonas_aromatica,0.716688603
163,51,Longilinea_sp.,1.697400453
164,51,Hydrogenophaga_aromaticivorans,2.732986594
165,51,Petrimonas_mucosa,1.242978387
166,51,Neobacillus_niacini,11.86090752
167,51,Clostridium_fungisolvens,34.92885616
168,52,Pseudomonas_phenolilytica,1.466783764
169,52,Mariniplasma_anaerobium,1.841740789
170,52,Mariniphaga_anaerophila,28.51244155
171,52,Methanosarcina_acetivorans,1.359221788
172,52,Methanobacterium_formicicum,1.349463745
173,52,Dielma_fastidiosa,5.553505418
174,52,Tepidimonas_charontis,1.774241342
175,52,Gudongella_oleilytica,5.13331558
176,52,Dechloromonas_aromatica,0.697570624
177,52,Longilinea_sp.,1.795182867
178,52,Hydrogenophaga_aromaticivorans,2.521787608
179,52,Petrimonas_mucosa,1.266604573
180,52,Neobacillus_niacini,11.42153018
181,52,Clostridium_fungisolvens,35.30661017
182,53,Pseudomonas_phenolilytica,1.44038986
183,53,Mariniplasma_anaerobium,1.960296162
184,53,Mariniphaga_anaerophila,28.21012259
185,53,Methanosarcina_acetivorans,1.400738101
186,53,Methanobacterium_formicicum,1.395621673
187,53,Dielma_fastidiosa,5.556093774
188,53,Tepidimonas_charontis,1.900674093
189,53,Gudongella_oleilytica,5.300928245
190,53,Dechloromonas_aromatica,0.6784178
191,53,Longilinea_sp.,1.900129434
192,53,Hydrogenophaga_aromaticivorans,2.325063663
193,53,Petrimonas_mucosa,1.289992148
194,53,Neobacillus_niacini,10.99116204
195,53,Clostridium_fungisolvens,35.65037042
196,54,Pseudomonas_phenolilytica,1.413457375
197,54,Mariniplasma_anaerobium,2.089657297
198,54,Mariniphaga_anaerophila,27.88896101
199,54,Methanosarcina_acetivorans,1.442449889
200,54,Methanobacterium_formicicum,1.443453361
201,54,Dielma_fastidiosa,5.554456484
202,54,Tepidimonas_charontis,2.038019855
203,54,Gudongella_oleilytica,5.472665592
204,54,Dechloromonas_aromatica,0.659248387
205,54,Longilinea_sp.,2.012678092
206,54,Hydrogenophaga_aromaticivorans,2.141953375
207,54,Petrimonas_mucosa,1.313087345
208,54,Neobacillus_niacini,10.56958236
209,54,Clostridium_fungisolvens,35.96032957
210,55,Pseudomonas_phenolilytica,1.385906268
211,55,Mariniplasma_anaerobium,2.230535983
212,55,Mariniphaga_anaerophila,27.54750429
213,55,Methanosarcina_acetivorans,1.484119704
214,55,Methanobacterium_formicicum,1.492714075
215,55,Dielma_fastidiosa,5.548119701
216,55,Tepidimonas_charontis,2.186632297
217,55,Gudongella_oleilytica,5.647212686
218,55,Dechloromonas_aromatica,0.641654034
219,55,Longilinea_sp.,2.133016911
220,55,Hydrogenophaga_aromaticivorans,1.97648375
221,55,Petrimonas_mucosa,1.335717054
222,55,Neobacillus_niacini,10.15616993
223,55,Clostridium_fungisolvens,36.23421331
224,56,Pseudomonas_phenolilytica,1.357903482
225,56,Mariniplasma_anaerobium,2.383787559
226,56,Mariniphaga_anaerophila,27.18837358
227,56,Methanosarcina_acetivorans,1.525717265
228,56,Methanobacterium_formicicum,1.543376521
229,56,Dielma_fastidiosa,5.537442974
230,56,Tepidimonas_charontis,2.347141677
231,56,Gudongella_oleilytica,5.82398759
232,56,Dechloromonas_aromatica,0.6240292
233,56,Longilinea_sp.,2.261499604
234,56,Hydrogenophaga_aromaticivorans,1.822315525
235,56,Petrimonas_mucosa,1.357864021
236,56,Neobacillus_niacini,9.751685842
237,56,Clostridium_fungisolvens,36.47487516
238,57,Pseudomonas_phenolilytica,1.329483436
