,cycle,cpd01080,cpd00264,cpd00161,cpd00149,cpd00011,cpd00063,cpd00205,cpd00035,cpd00276,cpd00041,cpd00064,cpd00069,cpd00132,cpd00239,cpd00092,cpd00058,cpd00030,cpd00027,cpd04450,cpd00001,cpd00033,cpd00156,cpd00138,cpd00254,cpd00029,cpd00067,cpd00051,cpd15378,cpd00039,cpd00116,cpd00012,cpd00244,cpd01034,cpd00023,cpd00034,cpd10516,cpd00971,cpd00020,cpd10515,cpd04383,cpd00066,cpd00128,cpd00226,cpd00084,cpd00438,cpd00129,cpd00106,cpd00644,cpd00013,cpd00220,cpd01024,cpd01007,cpd00528,cpd00099,cpd00053,cpd00009,cpd00118,cpd00322,cpd00047,cpd00107,cpd00131,cpd00229,cpd00060,cpd00054,cpd00082,cpd00119,cpd00218,cpd00048,cpd00065
0,40,0.004787416,0.0,0.0,2499.999722,1.340216608,2499.999722,2499.999722,0.0,0.0,0.0,0.0,0.0,0.0,2500.265034,0.0,2499.999723,2499.999722,11.09118217,0.778385981,2504.239742,0.0,0.0,0.0,2499.999722,1.894175801,9989.78377,0.0,2.91e-05,0.0,4.237003506,0.09311587,2500.0,0.070159994,0.0,2499.999722,2499.999621,2500,0.0,2499.999267,0.248662969,0.0,0.0,0.0,0.0,0.0,0.000793,0.0,0.0,499999.5976,0.0,0.272638262,0.113481352,2499.995712,2499.999722,0.0,499999.7658,8.53e-05,0.0,7e-05,0.068001895,2500.0,3.86e-05,0.00022,0.0,0.0,0.0,1.96e-06,2499.725319,0.0
1,41,0.01093506,0.035084896,0.224150007,2499.999392,1.805755736,2499.999392,2499.99939,0.222627584,0.050628216,0.195947418,0.0,0.239182934,0.222035624,2500.519842,0.0,2499.999395,2499.999393,9.534933831,0.725235805,2508.135487,0.381280539,0.226825528,0.0,2499.999392,3.926480989,9978.884787,0.221288894,7.07e-05,0.237124939,8.500782628,0.178479061,2499.999997,0.069508437,0.154115331,2499.999393,2499.99915,2500,0.004368069,2499.998418,0.246353705,0.241829469,0.0,0.007524522,0.24160752,0.0,0.185529422,0.008074105,0.000412,499999.5549,0.0,0.322136264,0.105732556,2499.98622,2499.99939,0.172314074,499999.5362,0.001794806,0.321616392,0.000143,0.318253369,2499.999997,9.85e-05,0.155623807,0.238876009,0.0,0.191567683,3.8e-06,2499.54854,0.240794694
2,42,0.018647704,0.068982255,0.422420321,2499.999024,2.276712965,2499.999024,2499.999023,0.415356135,0.117567824,0.415594622,0.0,0.464781564,0.416180735,2500.818268,0.0,2499.999032,2499.999029,8.057549763,0.678910193,2512.311905,0.682418332,0.43073119,0.0,2499.999024,5.958689564,9967.701483,0.425592309,0.000121,0.459506853,12.56078091,0.26143735,2499.999993,0.068879928,0.259456908,2499.999029,2499.998796,2500,0.009758471,2499.997303,0.244126126,0.474169271,0.0,0.018390539,0.471961155,0.0,0.318627996,0.021304731,0.000801,499999.6583,0.0,0.419138351,0.098978718,2499.971638,2499.999022,0.33222376,499999.3036,0.030218173,0.636321183,0.000135,0.564696479,2499.999993,0.000173,0.247487878,0.462347539,0.0,0.365825303,5.23e-06,2499.379516,0.47053275
3,43,0.027912578,0.100260204,0.598722312,2499.998665,2.710233604,2499.998665,2499.998665,0.587086213,0.185648201,0.625335229,0.0,0.677973894,0.583349524,2501.14256,0.0,2499.99868,2499.998677,6.832761397,0.638374027,2516.351713,0.937039855,0.615270518,0.0,2499.998665,7.726736705,9957.152971,0.607569245,0.000172,0.669042707,16.02122235,0.34408443,2499.999987,0.068273809,0.355709314,2499.998677,2499.99844,2500,0.016106436,2499.996233,0.241977901,0.698844651,0.0,0.032365789,0.692356983,0.0,0.417635459,0.038486146,0.001189022,499999.9117,0.0,0.564918738,0.093068926,2499.951892,2499.998664,0.488748083,499999.0725,0.076755405,0.939086509,0.000144,0.807470089,2499.999987,0.000249,0.29863027,0.671112931,0.0,0.531222678,6.12e-06,2499.215545,0.690566281
4,44,0.038446648,0.129774716,0.756039274,2499.998318,3.111662817,2499.998318,2499.998318,0.740409047,0.252102041,0.820880708,0.0,0.879451017,0.729141245,2501.482666,0.0,2499.998341,2499.998337,5.831628125,0.602747165,2520.351784,1.183361883,0.781570637,0.0,2499.998318,9.154470913,9947.098326,0.776532951,0.000222,0.866551974,18.99919139,0.427102503,2499.99998,0.067688872,0.457229877,2499.998338,2499.998102,2500,0.02263926,2499.995187,0.239904752,0.916881208,0.0,0.052937095,0.903591476,0.0,0.492925471,0.05897328,0.001542453,500000.2305,0.0,0.756103023,0.087874865,2499.927147,2499.998316,0.618749787,499998.842,0.13588359,1.232170138,0.000197,1.048549237,2499.99998,0.000321,0.32383423,0.875365769,0.0,0.690269133,6.28e-06,2499.052666,0.90162202
5,45,0.049914422,0.157796189,0.896758458,2499.997977,3.485401449,2499.997977,2499.997978,0.875706882,0.316058796,1.009543311,0.0,1.069695096,0.855433618,2501.83062,0.0,2499.99801,2499.998005,5.007899729,0.571311209,2524.369301,1.424414795,0.93212465,0.0,2499.997977,10.29934289,9937.422057,0.933015689,0.000271,1.052533005,21.58969141,0.508991245,2499.99997,0.067123975,0.55942009,2499.998008,2499.997769,2500,0.029616403,2499.994167,0.23790263,1.129023175,0.0,0.079950927,1.106273957,0.0,0.550978534,0.082371679,0.001883933,500000.5994,0.0,0.988218605,0.083291799,2499.897655,2499.997975,0.725905627,499998.6148,0.203043703,1.517856369,0.000183,1.286688641,2499.99997,0.00039,0.332731503,1.068349283,0.0,0.843470379,6.07e-06,2498.889734,1.104275364
6,46,0.061031091,0.184475502,1.022827553,2499.997644,3.834612236,2499.997644,2499.997646,0.991057492,0.376642312,1.19238189,0.0,1.249102379,0.966499196,2502.182495,0.0,2499.997689,2499.997683,4.33295906,0.543472008,2528.344204,1.661633747,1.069355443,0.0,2499.997644,11.21928861,9928.070452,1.077734328,0.00032,1.227386136,23.86457354,0.593705615,2499.99996,0.066578135,0.659070348,2499.997686,2499.99745,2500,0.037372908,2499.993166,0.235968047,1.335950284,0.0,0.113049653,1.300949296,0.0,0.596459522,0.108141204,0.002217719,500001.0088,0.0,1.233564837,0.079233105,2499.863891,2499.997643,0.81365816,499998.3829,0.274856928,1.798483669,0.000186,1.520759048,2499.99996,0.000457,0.331610588,1.250474768,0.0,0.990857927,5.7e-06,2498.725025,1.29906399
7,47,0.0718002,0.209997072,1.135836199,2499.997317,4.163022808,2499.997317,2499.997319,1.0877236,0.433516503,1.364765838,0.0,1.418026057,1.067667677,2502.534533,0.0,2499.997374,2499.997367,3.78141825,0.518735469,2532.309695,1.895770245,1.194616483,0.0,2499.997317,11.94320801,9918.96692,1.211495351,0.000367,1.391385686,25.88082451,0.679400605,2499.999948,0.066050843,0.75374494,2499.997371,2499.997141,2500,0.045939384,2499.992177,0.234099204,1.538246475,0.0,0.152162596,1.488101041,0.0,0.632601273,0.136249521,0.002549019,500001.4464,0.0,1.49144089,0.07562675,2499.825987,2499.997315,0.884306,499998.1496,0.348907239,2.075330394,0.000201,1.750234301,2499.999948,0.000522,0.324521998,1.42211763,0.0,1.132467258,5.3e-06,2498.558667,1.486470027
8,48,0.086035108,0.234516913,1.237074524,2499.996991,4.47365575,2499.996991,2499.996994,1.166931123,0.479880745,1.52703349,0.0,1.576770867,1.158934691,2502.884377,0.0,2499.997061,2499.997054,3.328643625,1.300462862,2536.292848,2.08085721,1.309253078,0.0,2499.996991,12.50700313,9909.950284,1.338229946,0.000415,1.544675732,27.68458968,0.766102545,2499.999936,0.135830526,0.83403848,2499.997058,2499.996836,2500,0.05527549,2499.99119,0.481414267,1.736469834,0.0,0.197157564,1.668179987,0.0,0.661740444,0.16853205,0.002881474,500001.7766,0.0,1.761441137,0.189616798,2499.783975,2499.996989,0.939717981,499997.9139,0.487549987,2.349650094,0.000236,1.974485597,2499.999936,0.000585,0.314081177,1.631306993,0.0,1.268380736,5.17e-06,2498.39072,1.6669414
9,49,0.099742714,0.258155166,1.330020154,2499.996664,4.768109798,2499.996664,2499.996668,1.229901272,0.52350886,1.679503916,0.0,1.725653238,1.238437408,2503.229889,0.0,2499.996749,2499.99674,2.954452631,1.248821626,2540.319198,2.260472499,1.426605391,0.0,2499.996664,12.94153248,9901.100631,1.456428159,0.000463,1.687558001,29.3085967,0.845828765,2499.999922,0.13480872,0.899577026,2499.996746,2499.996535,2500,0.065030962,2499.990198,0.477792754,1.931228382,0.0,0.247747681,1.841654807,0.0,0.685816831,0.206351654,0.00321931,500002.1405,0.0,2.043552479,0.182087136,2499.737889,2499.996663,0.981358164,499997.6916,0.61798028,2.624741231,0.000221,2.181052353,2499.999922,0.000648,0.301974351,1.835811806,0.0,1.398792123,4.92e-06,2498.222087,1.840935239
