,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
696,41,0,0,0,0,0,0.0,0,0,0,0,0,-0.000226,0,0,0.0,0.028477463,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000226,0,0,0,0.0,0,0,0,0,0,0.0,-0.006210656,0,0.0,0,0.0,0,0,0.0,2.935478534,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000226,0.0,-0.835176035,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.035373218,0,0.0,0.0,0,0.0,0.159240908,0.0,-0.213642897,-0.000226,0.0,0,0.0,0,3e-05,0,0,0,0.0,-0.000226,0.0,0,0,-0.000678,0,1.894175801,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000226,0.0,-0.000226,0,0,0.0,0,0.0,0.0,0,0,0,-1e-05,0.0,0,0,0.0,-0.000226,0.0,0,0.0,0,0,0.028477463,0.028477463,0.028477463,0,0,-0.000226,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
710,42,0,0,0,0,0,0.0,0,0,0,0,0,-0.000239,0,0,0.0,0.030082101,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000239,0,0,0,0.0,0,0,0,0,0,0.0,0.064367349,0,0.0,0,0.0,0,0,0.0,2.843572101,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000239,0.0,-0.81532192,0.0,0,0,0,-0.032151567,0,0,0,0.0,0.0,0.0,0,0,-0.037366415,0,0.0,0.0,0,0.0,0.165859957,0.0,-0.119322956,-0.000239,0.0,0,0.0,0,9.63e-06,0,0,0,0.0,-0.000239,0.0,0,0,-0.000717,0,2.06806833,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000239,0.0,-0.000239,0,0,0.0,0,0.0,-0.001639341,0,0,0,-1e-05,0.0,0,0,0.0,-0.000239,0.0,0,-0.070927961,0,0,0.030082101,0.030082101,0.030082101,0,0,-0.000239,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
724,43,0,0,0,0,0,0.0,0,0,0,0,0,-0.000244,0,0,0.0,0.030747595,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.00224639,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000244,0,0,0,0.0,0,0,0,0,0,0.0,0.109274014,0,0.0,0,0.0,0,0,0.0,2.768188273,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000244,0.0,-0.792552598,0.0,0,0,0,-0.032862844,0,0,0,0.0,0.0,0.0,0,0,-0.038193057,0,0.0,0.0,0,0.0,0.168449092,0.0,-0.069494436,-0.000244,0.0,0,0.0,0,-5.26e-05,0,0,0,0.0,-0.000244,0.0,0,0,-0.000732,0,2.106294298,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000244,0.0,-0.000244,0,0,0.0,0,0.0,-0.001675607,0,0,0,-1e-05,0.0,0,0,0.0,-0.000244,0.0,0,-0.115979764,0,0,0.030747595,0.030747595,0.030747595,0,0,-0.000244,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
738,44,0,0,0,0,0,0.0,0,0,0,0,0,-0.000217,0,0,0.0,0.02733727,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.005221609,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000217,0,0,0,0.0,0,0,0,0,0,0.0,0.137975927,0,0.0,0,0.0,0,0,0.0,2.326724587,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000217,0.0,-0.670464314,0.0,0,0,0,-0.029217909,0,0,0,0.0,0.0,0.0,0,0,-0.03395693,0,0.0,0.0,0,0.0,0.148841339,0.0,-0.008067186,-0.000217,0.0,0,0.0,0,-5.13e-05,0,0,0,0.0,-0.000217,0.0,0,0,-0.000651,0,1.880707463,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-0.000217,0.0,-0.000217,0,0,0.0,0,0.0,-0.00148976,0,0,0,-1e-05,0.0,0,0,0.0,-0.000217,0.0,0,-0.143937918,0,0,0.02733727,0.02733727,0.02733727,0,0,-0.000217,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
752,45,0,0,0,0,0,0.0,0,0,0,0,0,-0.000193,0,0,0.0,0.02436964,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.004654771,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000193,0,0,0,0.0,0,0,0,0,0,0.0,0.15501775,0,0.0,0,0.0,0,0,0.0,1.979148948,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000193,0.0,-0.545024263,0.0,0,0,0,-0.026046124,0,0,0,0.0,0.0,0.0,0,0,-0.030270695,0,0.0,0.0,0,0.0,0.131588292,0.0,0.0,-0.000193,0.0,0,0.0,0,-1.5e-05,0,0,0,0.0,-0.000193,0.0,0,0,-0.00058,0,1.574327758,0,0,0,0.0,0.0,0,0,0.024828524,0,0,0,0,0.0,0.0,0,0,-0.000193,0.0,-0.000193,0,0,0.0,0,0.0,-0.001328037,0,0,0,-1e-05,0.0,0,0,0.0,-0.000193,0.0,0,-0.16033253,0,0,0.02436964,0.02436964,0.02436964,0,0,-0.000193,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
766,46,0,0,0,0,0,0.0,0,0,0,0,0,-0.000174,0,0,0.0,0.021890184,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.004181178,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000174,0,0,0,0.0,0,0,0,0,0,0.0,0.164222131,0,0.0,0,0.0,0,0,0.0,1.704188488,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000174,0.0,-0.445318423,0.0,0,0,0,-0.023396096,0,0,0,0.0,0.0,0.0,0,0,-0.027190843,0,0.0,0.0,0,0.0,0.116924627,0.0,0.0,-0.000174,0.0,0,0.0,0,-7.29e-05,0,0,0,0.0,-0.000174,0.0,0,0,-0.000521,0,1.319522719,0,0,0,0.0,0.0,0,0,0.047278833,0,0,0,0,0.0,0.0,0,0,-0.000174,0.0,-0.000174,0,0,0.0,0,0.0,-0.001192918,0,0,0,-1e-05,0.0,0,0,0.0,-0.000174,0.0,0,-0.168996166,0,0,0.021890184,0.021890184,0.021890184,0,0,-0.000174,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
780,47,0,0,0,0,0,0.0,0,0,0,0,0,-0.000155,0,0,0.0,0.01956771,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.003737569,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000155,0,0,0,0.0,0,0,0,0,0,0.0,0.168280626,0,0.0,0,0.0,0,0,0.0,1.458940413,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000155,0.0,-0.358693527,0.0,0,0,0,-0.020913851,0,0,0,0.0,0.0,0.0,0,0,-0.024305988,0,0.0,0.0,0,0.0,0.104517639,0.0,0.0,-0.000155,0.0,0,0.0,0,-6.96e-05,0,0,0,0.0,-0.000155,0.0,0,0,-0.000466,0,1.093617389,0,0,0,0.0,0.0,0,0,0.063744609,0,0,0,0,0.0,0.0,0,0,-0.000155,0.0,-0.000155,0,0,0.0,0,0.0,-0.001066353,0,0,0,-1e-05,0.0,0,0,0.0,-0.000155,0.0,0,-0.172548152,0,0,0.01956771,0.01956771,0.01956771,0,0,-0.000155,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
794,48,0,0,0,0,0,0.0,0,0,0,0,0,-0.000139,0,0,0.0,0.017455549,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.003334132,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000139,0,0,0,0.0,0,0,0,0,0,0.0,0.16896907,0,0.0,0,0.0,0,0,0.0,1.243983022,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000139,0.0,-0.284349644,0.0,0,0,0,-0.018656385,0,0,0,0.0,0.0,0.0,0,0,-0.021682372,0,0.0,0.0,0,0.0,0.094124579,0.0,0.0,-0.000139,0.0,0,0.0,0,-3.16e-05,0,0,0,0.0,-0.000139,0.0,0,0,-0.000416,0,0.896512505,0,0,0,0.0,0.0,0,0,0.075716792,0,0,0,0,0.0,0.0,0,0,-0.000139,0.0,-0.000139,0,0,0.0,0,0.0,-0.000951,0,0,0,-1e-05,0.0,0,0,0.0,-0.000139,0.0,0,-0.172775954,0,0,0.017455549,0.017455549,0.017455549,0,0,-0.000139,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
808,49,0,0,0,0,0,0.0,0,0,0,0,0,-0.000124,0,0,0.0,0.015649015,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.002989071,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000124,0,0,0,0.0,0,0,0,0,0,0.0,0.167463184,0,0.0,0,0.0,0,0,0.0,1.066230898,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000124,0.0,-0.224377276,0.0,0,0,0,-0.016725572,0,0,0,0.0,0.0,0.0,0,0,-0.019438389,0,0.0,0.0,0,0.0,0.085456869,0.0,0.0,-0.000124,0.0,0,0.0,0,-3.78e-05,0,0,0,0.0,-0.000124,0.0,0,0,-0.000373,0,0.735537084,0,0,0,0.0,0.0,0,0,0.083861904,0,0,0,0,0.0,0.0,0,0,-0.000124,0.0,-0.000124,0,0,0.0,0,0.0,-0.000853,0,0,0,-1e-05,0.0,0,0,0.0,-0.000124,0.0,0,-0.170876081,0,0,0.015649015,0.015649015,0.015649015,0,0,-0.000124,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
950,50,0,0,0,0,0,0.0,0,0,0,0,0,-0.000112,0,0,0.0,0.014122979,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.002697588,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000112,0,0,0,0.0,0,0,0,0,0,0.0,0.164582083,0,0.0,0,0.0,0,0,0.0,0.920878951,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000112,0.0,-0.176620063,0.0,0,0,0,-0.015094555,0,0,0,0.0,0.0,0.0,0,0,-0.017542828,0,0.0,0.0,0,0.0,0.078208907,0.0,0.0,-0.000112,0.0,0,0.0,0,-9.05e-05,0,0,0,0.0,-0.000112,0.0,0,0,-0.000336,0,0.60583934,0,0,0,0.0,0.0,0,0,0.089133297,0,0,0,0,0.0,0.0,0,0,-0.000112,0.0,-0.000112,0,0,0.0,0,0.0,-0.00077,0,0,0,-1e-05,0.0,0,0,0.0,-0.000112,0.0,0,-0.167662166,0,0,0.014122979,0.014122979,0.014122979,0,0,-0.000112,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
964,51,0,0,0,0,0,0.0,0,0,0,0,0,-0.000102,0,0,0.0,0.012828193,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.002450274,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000102,0,0,0,0.0,0,0,0,0,0,0.0,0.160888458,0,0.0,0,0.0,0,0,0.0,0.801186647,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-0.000102,0.0,-0.138273386,0.0,0,0,0,-0.013710695,0,0,0,0.0,0.0,0.0,0,0,-0.015934512,0,0.0,0.0,0,0.0,0.072124238,0.0,0.0,-0.000102,0.0,0,0.0,0,-8.65e-05,0,0,0,0.0,-0.000102,0.0,0,0,-0.000306,0,0.500385729,0,0,0,0.0,0.0,0,0,0.092356772,0,0,0,0,0.0,0.0,0,0,-0.000102,0.0,-0.000102,0,0,0.0,0,0.0,-0.000699,0,0,0,-1e-05,0.0,0,0,0.0,-0.000102,0.0,0,-0.163686162,0,0,0.012828193,0.012828193,0.012828193,0,0,-0.000102,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
978,52,0,0,0,0,0,0.0,0,0,0,0,0,-9.31e-05,0,0,0.0,0.01172577,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.002239704,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.31e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.156754998,0,0.0,0,0.0,0,0,0.0,0.702167629,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.31e-05,0.0,-0.107354931,0.0,0,0,0,-0.012532433,0,0,0,0.0,0.0,0.0,0,0,-0.01456514,0,0.0,0.0,0,0.0,0.067000107,0.0,0.0,-9.31e-05,0.0,0,0.0,0,-6.47e-05,0,0,0,0.0,-9.31e-05,0.0,0,0,-0.000279,0,0.414272213,0,0,0,0.0,0.0,0,0,0.094112752,0,0,0,0,0.0,0.0,0,0,-9.31e-05,0.0,-9.31e-05,0,0,0.0,0,0.0,-0.000639,0,0,0,-1e-05,0.0,0,0,0.0,-9.31e-05,0.0,0,-0.159312274,0,0,0.01172577,0.01172577,0.01172577,0,0,-9.31e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
