,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
691,41,0,0,0,0,0,0.0,0,0,0,0,0,-6.09e-07,0,0,-0.007999543,0.000197,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004787416,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.002392419,0,0,0,0,0,0,0,0,0,0,0,0,-6.09e-07,0,0,0,0.0,0,0,0,0,0,0.0,0.095251276,0,0.0,0,0.0,0,0,0.0,0.41420479,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.09e-07,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.09381575,0,0.0,0.0,0,0.0,0.001059191,0.0,-0.001678232,-6.09e-07,0.046828887,0,-0.095294461,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-1.83e-06,0,0.0,0,0,0,-0.001166473,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.09e-07,0.0,-6.09e-07,0,0,0.0,0,0.0,0.0,0,0,0,-0.933421064,-0.000675,0,0,0.0,-6.09e-07,0.0,0,0.0,0,0,0.000197,0.000197,0.000197,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
705,42,0,0,0,0,0,0.0,0,0,0,0,0,-8.84e-07,0,0,-0.007228656,0.000285,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006145207,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.002309265,0,0,0,0,0,0,0,0,0,0,0,0,-8.84e-07,0,0,0,0.0,0,0,0,0,0,0.0,0.090940535,0,0.0,0,0.0,0,0,0.0,0.425972784,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.84e-07,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.089454984,0,0.0,0.0,0,-5.73e-05,0.001399988,0.0,-0.002156742,-8.84e-07,0.044612916,0,-0.091003177,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-2.65e-06,0,-0.017590689,0,0,0,-0.00105387,-8.15e-05,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-8.84e-07,0.0,-8.84e-07,0,0,0.0,0,0.0,0.0,0,0,0,-0.960872951,-0.000652,0,0,0.0,-8.84e-07,0.0,0,0.0,0,0,0.000285,0.000285,0.000285,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
719,43,0,0,0,0,0,0.0,0,0,0,0,0,-1.15e-06,0,0,-0.006557724,0.000372,0.0,0,0,0,1.15e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007712644,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.002227578,0,0,0,0,0,0,0,0,0,0,0,0,-1.15e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.086915215,0,0.0,0,0.0,0,0,0.0,0.441447954,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.15e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-3.95e-05,0.0,0.0,0,0,-0.085604773,0,0.0,0.0,0,-7.48e-05,0.001772954,0.0,-0.002369646,-1.15e-06,0.042651762,0,-0.08699809,0,-3e-05,0,0,0,0.0,-4.61e-06,0.0,0,0,0.0,0,-0.03550401,0,0,0,-0.000956,-0.000106,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.15e-06,-0.000458,-1.15e-06,0,0,0.0,0,0.0,0.0,0,0,0,-0.996827985,-0.000629,0,0,0.0,-1.15e-06,0.0,0,0.0,0,0,0.000372,0.000372,0.000372,0,0,-1.15e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
733,44,0,0,0,0,0,0.0,0,0,0,0,0,-1.42e-06,0,0,-0.005974174,0.000459,0.0,0,0,0,1.42e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009264874,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.002148225,0,0,0,0,0,0,0,0,0,0,0,0,-1.42e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.083162018,0,0.0,0,0.0,0,0,0.0,0.456791975,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.42e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-8.59e-05,0.0,0.0,0,0,-0.081870783,0,0.0,0.0,0,-9.21e-05,0.002142831,0.0,-0.002448188,-1.42e-06,0.040749857,0,-0.0832641,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-5.68e-06,0,-0.052434402,0,0,0,-0.000871,-0.000131,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.42e-06,-0.001034556,-1.42e-06,0,0,0.0,0,0.0,0.0,0,0,0,-1.032834199,-0.000606,0,0,0.0,-1.42e-06,0.0,0,0.0,0,0,0.000459,0.000459,0.000459,0,0,-1.42e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
747,45,0,0,0,0,0,0.0,0,0,0,0,0,-1.64e-06,0,0,-0.00546928,0.00053,0.0,0,0,0,1.64e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01053407,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.002073149,0,0,0,0,0,0,0,0,0,0,0,0,-1.64e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.079669824,0,0.0,0,0.0,0,0,0.0,0.467727035,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.64e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-0.000138,0.0,0.0,0,0,-0.07839455,0,0.0,0.0,0,-0.000107,0.00244643,0.0,-0.002436735,-1.64e-06,0.038982732,0,-0.079787867,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-6.57e-06,0,-0.066198938,0,0,0,-0.000797,-0.000151,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.64e-06,-0.001590544,-1.64e-06,0,0,0.0,0,0.0,0.0,0,0,0,-1.058647483,-0.000585,0,0,0.0,-1.64e-06,0.0,0,0.0,0,0,0.00053,0.00053,0.00053,0,0,-1.64e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
761,46,0,0,0,0,0,0.0,0,0,0,0,0,-1.81e-06,0,0,-0.005030216,0.000585,0.0,0,0,0,1.81e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011467774,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.002002121,0,0,0,0,0,0,0,0,0,0,0,0,-1.81e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.076413275,0,0.0,0,0.0,0,0,0.0,0.473368518,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.81e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-0.000189,0.0,0.0,0,0,-0.075150055,0,0.0,0.0,0,-0.000117,0.0026712,0.0,-0.002334596,-1.81e-06,0.037338576,0,-0.076543371,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-7.24e-06,0,-0.076398485,0,0,0,-0.000733,-0.000167,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.81e-06,-0.002103913,-1.81e-06,0,0,0.0,0,0.0,0.0,0,0,0,-1.072151441,-0.000565,0,0,0.0,-1.81e-06,0.0,0,0.0,0,0,0.000585,0.000585,0.000585,0,0,-1.81e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
775,47,0,0,0,0,0,0.0,0,0,0,0,0,-1.77e-06,0,0,-0.004645805,0.00057,0.0,0,0,0,1.77e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011116669,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.001934584,0,0,0,0,0,0,0,0,0,0,0,0,-1.77e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.073376062,0,0.0,0,0.0,0,0,0.0,0.457388785,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.77e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-0.000241,0.0,0.0,0,0,-0.07210967,0,0.0,0.0,0,-0.000115,0.002592892,0.0,-0.001760189,-1.77e-06,0.035824147,0,-0.073502987,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-7.06e-06,0,-0.073502987,0,0,0,-0.000677,-0.000163,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.77e-06,-0.002570136,-1.77e-06,0,0,0.0,0,0.0,0.0,0,0,0,-1.034890644,-0.000546,0,0,0.0,-1.77e-06,0.0,0,0.0,0,0,0.00057,0.00057,0.00057,0,0,-1.77e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
789,48,0,0,0,0,0,0.0,0,0,0,0,0,-1.72e-06,0,0,-0.004304242,0.000556,0.0,0,0,0,1.72e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010769109,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.001868843,0,0,0,0,0,0,0,0,0,0,0,0,-1.72e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.070468214,0,0.0,0,0.0,0,0,0.0,0.441696887,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.72e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-0.000296,0.0,0.0,0,0,-0.069198605,0,0.0,0.0,0,-0.000112,0.002515014,0.0,-0.00123757,-1.72e-06,0.034374463,0,-0.070591921,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-6.89e-06,0,-0.070591921,0,0,0,-0.000628,-0.000159,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.72e-06,-0.002982968,-1.72e-06,0,0,0.0,0,0.0,0.0,0,0,0,-0.998471657,-0.000527,0,0,0.0,-1.72e-06,0.0,0,0.0,0,0,0.000556,0.000556,0.000556,0,0,-1.72e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
803,49,0,0,0,0,0,0.0,0,0,0,0,0,-2.31e-06,0,0,-0.010471042,0.000745,0.0,0,0,0,2.31e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014234908,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.003740325,0,0,0,0,0,0,0,0,0,0,0,0,-2.31e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.067638192,0,0.0,0,0.0,0,0,0.0,0.415033052,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.31e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-0.000354,0.0,0.0,0,0,-0.066410577,0,0.0,0.0,0,-0.00015,0.003329724,0.0,-0.002311059,-2.31e-06,0.032904124,0,-0.067803894,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-9.22e-06,0,-0.067803894,0,0,0,-0.001526753,-0.000213,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.31e-06,-0.003342218,-2.31e-06,0,0,0.0,0,0.0,0.0,0,0,0,-0.984537223,-0.001055329,0,0,0.0,-2.31e-06,0.0,0,0.0,0,0,0.000745,0.000745,0.000745,0,0,-2.31e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
945,50,0,0,0,0,0,0.0,0,0,0,0,0,-2.23e-06,0,0,-0.009782933,0.000722,0.0,0,0,0,2.23e-06,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013707605,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,-0.003621513,0,0,0,0,0,0,0,0,0,0,0,0,-2.23e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.06516619,0,0.0,0,0.0,0,0,0.0,0.401973354,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.23e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,-0.000416,0.0,0.0,0,0,-0.063933435,0,0.0,0.0,0,-0.000145,0.003217468,0.0,-0.00186792,-2.23e-06,0.031674896,0,-0.065326752,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-8.94e-06,0,-0.065326752,0,0,0,-0.001426422,-0.000206,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.23e-06,-0.003609977,-2.23e-06,0,0,0.0,0,0.0,0.0,0,0,0,-0.951633364,-0.001021806,0,0,0.0,-2.23e-06,0.0,0,0.0,0,0,0.000722,0.000722,0.000722,0,0,-2.23e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
