,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
702,42,0,0,0,0,0,0.0,0,0,0,0,0,-2.3e-07,0,0,0.0,2.9e-05,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3e-07,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.37e-06,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.3e-07,0.0,0.000354,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-3.23e-05,0,0.0,0.0,0,0.0,0.003795391,0.0,0.001421762,-2.3e-07,0.0,0,0.0,0,6.28e-06,0,0,0,0.0,0.0,-0.002002981,0,0,0.0,0,0.0,0,0,0,0.0,0.000201,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.3e-07,0.0,-2.3e-07,0,0,-3.22e-06,0,-5.1e-06,-1.58e-06,0,0,0,1e-05,0.0,0,0,0.0,-2.3e-07,0.0,0,-9.35e-07,0,0,2.9e-05,2.9e-05,2.9e-05,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,-4.69e-06,0,0,0.0,0,0,0,0,0,0,0
716,43,0,0,0,0,0,0.0,0,0,0,0,0,-8.4e-07,0,0,0.0,0.000106,0.0,0,0,0,0.0,0,0.0,-2.86e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-1.77e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-8.4e-07,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-8.67e-06,0,0.0,0,0,0.0,0.001747135,0,0,0,0,0,0,0,-3.68e-05,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.4e-07,0.0,0.001337076,-8.4e-07,0,0,0,-0.003171552,0,0,0,0.0,-1.7e-05,0.0,0,0,-0.000129,0,0.0,0.0,0,0.0,0.005471415,0.0,0.002826682,-8.4e-07,0.0,0,0.0,0,2.23e-05,0,0,0,0.0,0.0,0.0,0,0,-3.36e-06,0,0.0,0,0,0,0.0,-3.43e-05,0,0,0.0,0,0,0,0,-3.42e-05,0.0,0,0,-8.4e-07,0.0,-8.4e-07,0,0,-1.26e-05,0,-1.86e-05,-5.77e-06,0,0,0,1e-05,0.0,0,0,0.0,-8.4e-07,0.0,0,-1.28e-05,0,0,0.000106,0.000106,0.000106,0,0,0.0,0,0.0,0,0.0,0,0,-2.13e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-1.02e-05,0,0,0.0,0,0,0,0,0,0,0
730,44,0,0,0,0,0,0.0,0,0,0,0,0,-1.28e-06,0,0,0.0,0.000161,0.0,0,0,0,0.0,0,0.0,-4.36e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-3.08e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.28e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-1.32e-05,0,0.0,0,0,0.0,0.006153775,0,0,0,0,0,0,0,-5.6e-05,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.28e-06,0.0,0.000876,-1.28e-06,0,0,0,-0.003101743,0,0,0,0.0,-2.59e-05,0.0,0,0,-0.0002,0,0.0,0.0,0,0.0,0.006611716,0.0,0.002566449,-1.28e-06,0.0,0,0.0,0,2.27e-05,0,0,0,0.0,0.0,0.0,0,0,-5.12e-06,0,0.0,0,0,0,0.0,-5.21e-05,0,0,0.0,0,0,0,0,-5.21e-05,0.0,0,0,-1.28e-06,0.0,-1.28e-06,0,0,-1.92e-05,0,-2.84e-05,-8.78e-06,0,0,0,1e-05,0.0,0,0,0.0,-1.28e-06,0.0,0,-1.96e-05,0,0,0.000161,0.000161,0.000161,0,0,-1.28e-06,0,0.0,0,0.0,0,0,-3.12e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-1.56e-05,0,0,0.0,0,0,0,0,0,0,0
744,45,0,0,0,0,0,0.0,0,0,0,0,0,-1.69e-06,0,0,0.0,0.000213,0.0,0,0,0,0.0,0,0.0,-5.77e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-4.07e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-1.75e-05,0,0.0,0,0,0.0,0.010304932,0,0,0,0,0,0,0,-7.41e-05,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.69e-06,0.0,0.000442,-1.69e-06,0,0,0,-0.003029477,0,0,0,0.0,-3.43e-05,0.0,0,0,-0.000265,0,0.0,0.0,0,0.0,0.007681807,0.0,0.002320743,-1.69e-06,0.0,0,0.0,0,2.22e-05,0,0,0,0.0,0.0,0.0,0,0,-6.77e-06,0,0.0,0,0,0,0.0,-6.9e-05,0,0,0.0,0,0,0,0,-6.9e-05,0.0,0,0,-1.69e-06,0.0,-1.69e-06,0,0,-2.54e-05,0,-3.76e-05,-1.16e-05,0,0,0,1e-05,0.0,0,0,0.0,-1.69e-06,0.0,0,-2.59e-05,0,0,0.000213,0.000213,0.000213,0,0,-1.69e-06,0,0.0,0,0.0,0,0,-4.13e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-2.06e-05,0,0,0.0,0,0,0,0,0,0,0
758,46,0,0,0,0,0,0.0,0,0,0,0,0,-2.09e-06,0,0,0.0,0.000263,0.0,0,0,0,0.0,0,0.0,-7.1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-5.02e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.09e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.15e-05,0,0.0,0,0,0.0,0.014220063,0,0,0,0,0,0,0,-9.13e-05,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.09e-06,0.0,3.59e-05,-2.09e-06,0,0,0,-0.002965918,0,0,0,0.0,-4.23e-05,0.0,0,0,-0.000326,0,0.0,0.0,0,0.0,0.008700017,0.0,0.002094117,-2.09e-06,0.0,0,0.0,0,1.92e-05,0,0,0,0.0,-8.34e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-8.55e-05,0,0,0.0,0,0,0,0,-8.5e-05,0.0,0,0,-2.09e-06,0.0,-2.09e-06,0,0,-3.13e-05,0,-4.63e-05,-1.43e-05,0,0,0,1e-05,0.0,0,0,0.0,-2.09e-06,0.0,0,-3.19e-05,0,0,0.000263,0.000263,0.000263,0,0,-2.09e-06,0,0.0,0,0.0,0,0,-5.08e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-2.54e-05,0,0,0.0,0,0,0,0,0,0,0
772,47,0,0,0,0,0,0.0,0,0,0,0,0,-2.45e-06,0,0,0.0,0.000309,0.0,0,0,0,0.0,0,0.0,-8.36e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-5.9e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45e-06,0,0,0,0.0,0,0,0,0,0,-2.45e-06,0.0,0,-2.53e-05,0,0.0,0,0,0.0,0.017513603,0,0,0,0,0,0,0,-0.000107,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.45e-06,0.0,0.0,-2.45e-06,0,0,0,-0.002939005,0,0,0,0.0,-4.98e-05,0.0,0,0,-0.000384,0,0.0,0.0,0,0.0,0.009686335,0.0,0.002240566,-2.45e-06,0.0,0,0.0,0,1.99e-05,0,0,0,0.0,-9.82e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.0001,0,0,0.0,0,0,0,0,-0.0001,0.0,0,0,-2.45e-06,-0.000324,-2.45e-06,0,0,-3.68e-05,0,-5.45e-05,-1.68e-05,0,0,0,1e-05,0.0,0,0,0.0,-2.45e-06,0.0,0,-3.75e-05,0,0,0.000309,0.000309,0.000309,0,0,-2.45e-06,0,0.0,0,0.0,0,0,-5.98e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-2.99e-05,0,0,0.0,0,0,0,0,0,0,0
786,48,0,0,0,0,0,0.0,0,0,0,0,0,-2.8e-06,0,0,0.0,0.000353,0.0,0,0,0,0.0,0,0.0,-9.54e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-6.74e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.8e-06,0,0,0,0.0,0,0,0,0,0,-2.8e-06,0.0,0,-2.89e-05,0,0.0,0,0,0.0,0.020586373,0,0,0,0,0,0,0,-0.000123,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.8e-06,0.0,0.0,-2.8e-06,0,0,0,-0.002899898,0,0,0,0.0,-5.68e-05,0.0,0,0,-0.000438,0,0.0,0.0,0,0.0,0.010599691,0.0,0.002404979,-2.8e-06,0.0,0,0.0,0,1.97e-05,0,0,0,0.0,-1.12e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000114,0,0,0.0,0,0,0,0,-0.000114,0.0,0,0,-2.8e-06,-0.000671,-2.8e-06,0,0,-4.2e-05,0,-6.21e-05,-1.92e-05,0,0,0,1e-05,0.0,0,0,0.0,-2.8e-06,0.0,0,-4.28e-05,0,0,0.000353,0.000353,0.000353,0,0,-2.8e-06,0,0.0,0,0.0,0,0,-6.82e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-3.41e-05,0,0,0.0,0,0,0,0,0,0,0
800,49,0,0,0,0,0,0.0,0,0,0,0,0,-3.12e-06,0,0,0.0,0.000393,0.0,0,0,0,0.0,0,0.0,-0.000106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-7.51e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.12e-06,0,0,0,0.0,0,0,0,0,0,-3.12e-06,0.0,0,-3.22e-05,0,0.0,0,0,0.0,0.023416543,0,0,0,0,0,0,0,-0.000137,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.12e-06,0.0,0.0,-3.12e-06,0,0,0,-0.002872692,0,0,0,0.0,-6.33e-05,0.0,0,0,-0.000488,0,0.0,0.0,0,0.0,0.011453909,0.0,0.002559998,-3.12e-06,0.0,0,0.0,0,1.88e-05,0,0,0,0.0,-1.25e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000127,0,0,0.0,0,0,0,0,-0.000127,0.0,0,0,-3.12e-06,-0.000987,-3.12e-06,0,0,-4.68e-05,0,-6.92e-05,-2.14e-05,0,0,0,1e-05,0.0,0,0,0.0,-3.12e-06,0.0,0,-4.77e-05,0,0,0.000393,0.000393,0.000393,0,0,-3.12e-06,0,0.0,0,0.0,0,0,-7.6e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-3.8e-05,0,0,0.0,0,0,0,0,0,0,0
942,50,0,0,0,0,0,0.0,0,0,0,0,0,-3.41e-06,0,0,0.0,0.000429,0.0,0,0,0,0.0,0,0.0,-0.000116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-8.2e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.41e-06,0,0,0,0.0,0,0,0,0,0,-3.41e-06,0.0,0,-3.52e-05,0,0.0,0,0,0.0,0.025958631,0,0,0,0,0,0,0,-0.000149,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.41e-06,0.0,0.0,-3.41e-06,0,0,0,-0.002864344,0,0,0,0.0,-6.92e-05,0.0,0,0,-0.000533,0,0.0,0.0,0,0.0,0.012244787,0.0,0.002705794,-3.41e-06,0.0,0,0.0,0,1.69e-05,0,0,0,0.0,-1.36e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.000139,0,0,0.0,0,0,0,0,-0.000139,0.0,0,0,-3.41e-06,-0.001261636,-3.41e-06,0,0,-5.11e-05,0,-7.57e-05,-2.34e-05,0,0,0,1e-05,0.0,0,0,0.0,-3.41e-06,0.0,0,-5.22e-05,0,0,0.000429,0.000429,0.000429,0,0,-3.41e-06,0,0.0,0,0.0,0,0,-8.31e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-4.15e-05,0,0,0.0,0,0,0,0,0,0,0
956,51,0,0,0,0,0,0.0,0,0,0,0,0,-3.67e-06,0,0,0.0,0.000463,0.0,0,0,0,0.0,0,0.0,-0.000125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-8.84e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.67e-06,0,0,0,0.0,0,0,0,0,0,-3.67e-06,0.0,0,-3.79e-05,0,0.0,0,0,0.0,0.028257872,0,0,0,0,0,0,0,-0.000161,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.67e-06,0.0,0.0,-3.67e-06,0,0,0,-0.002868461,0,0,0,0.0,-7.45e-05,0.0,0,0,-0.000575,0,0.0,0.0,0,0.0,0.012975005,0.0,0.002842614,-3.67e-06,0.0,0,0.0,0,1.77e-05,0,0,0,0.0,-1.47e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,-0.00015,0,0,0.0,0,0,0,0,-0.00015,0.0,0,0,-3.67e-06,-0.001504241,-3.67e-06,0,0,-5.51e-05,0,-8.15e-05,-2.52e-05,0,0,0,1e-05,0.0,0,0,0.0,-3.67e-06,0.0,0,-5.62e-05,0,0,0.000463,0.000463,0.000463,0,0,-3.67e-06,0,0.0,0,0.0,0,0,-8.95e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,-4.47e-05,0,0,0.0,0,0,0,0,0,0,0
