,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
692,41,0,0,0,0,0,0.0,0,0,0,0,0,-9.86e-06,0,0,0.0,0.003184403,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.86e-06,0,0,0,0.0,0,0,0,0,0,0.0,0.094585846,0,0.0,0,0.0,0,0,0.0,0.781713085,0,0,0,0,0,0,0,0.068001895,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.86e-06,0.0,-0.090160365,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.094826991,0,0.0,0.0,0,0.0,0.00760853,0.0,-0.095294461,-9.86e-06,0.046120653,0,-0.095294461,0,-3e-05,0,0,0,0.0,-3.94e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-9.86e-06,0.0,-9.86e-06,0,0,0.0,0,0.0,0.0,0,0,0,-1.370513719,0.0,0,0,0.0,-9.86e-06,0.0,0,0.0,0,0,0.003184403,0.003184403,0.003184403,0,0,-9.86e-06,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
706,42,0,0,0,0,0,0.0,0,0,0,0,0,-1.64e-05,0,0,0.0,0.005291128,0.0,0,0,0,0.0,0,0.0,0.080603044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.64e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.094523326,0,-0.000419,0,0.0,0,0,0.0,0.830146064,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.64e-05,0.0,-0.09453971,0.0,0,0,0,-0.002349906,0,0,0,0.0,-0.002357554,0.0,0,0,-0.094223053,0,0.0,0.0,0,-0.002349906,0.010400336,0.0,-0.084964752,-1.64e-05,0.04496337,0,-0.09453971,0,-3e-05,0,0,0,-0.002349906,-6.55e-05,-0.002349906,0,0,0.0,0,0.0,0,0,0,0.0,-0.001510289,0,0,-0.002349906,0,0,0,0,-0.002349906,-0.002349906,0,0,-1.64e-05,0.0,-1.64e-05,0,0,-0.002349906,0,0.000894,-0.000332,0,0,0,-1.487575343,0.0,0,0,0.0,-1.64e-05,0.0,0,-0.000693,0,0,0.005291128,0.005291128,0.005291128,0,0,-1.64e-05,0,0.0,0,-0.002349906,0,0,-0.001305305,0,-0.002349906,0,0,0,0,0,0,0.0,0.0,-0.000468,0,0,0.0,0,0,0,0,0,0,0
720,43,0,0,0,0,0,0.0,0,0,0,0,0,-2.16e-05,0,0,0.0,0.006987274,0.0,0,0,0,0.0,0,0.0,0.085522668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.095815969,0,-0.000554,0,0.0,0,0,0.0,0.870511778,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.16e-05,0.0,-0.094976865,0.0,0,0,0,-0.003854663,0,0,0,0.0,-0.004167577,0.0,0,0,-0.095520948,0,0.0,0.0,0,-0.004531213,0.012393726,0.0,-0.074618494,-2.16e-05,0.044923696,0,-0.095837605,0,-3e-05,0,0,0,-0.004552274,-8.65e-05,-0.00427135,0,0,0.0,0,0.0,0,0,0,0.0,-0.001994434,0,0,-0.006117441,0,0,0,0,-0.004578925,-0.004537109,0,0,-2.16e-05,0.0,-2.16e-05,0,0,-0.004702016,0,0.002779146,-0.000438,0,0,0,-1.583987128,0.0,0,0,0.0,-2.16e-05,0.0,0,-0.000915,0,0,0.006987274,0.006987274,0.006987274,0,0,-2.16e-05,0,0.0,0,-0.004698959,0,0,-0.001723738,0,-0.00403594,0,0,0,0,0,0,0.0,0.0,-0.000619,0,0,0.0,0,0,0,0,0,0,0
734,44,0,0,0,0,0,0.0,0,0,0,0,0,-2.36e-05,0,0,0.0,0.007606832,0.0,0,0,0,0.0,0,0.0,0.084087427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.36e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.098688329,0,-0.000603,0,0.0,0,0,0.0,0.873634479,0,0,0,0,0,0,0,0.000591,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.36e-05,0.0,-0.084058223,0.0,0,0,0,-0.005033752,0,0,0,0.0,-0.005651038,0.0,0,0,-0.098395227,0,0.0,0.0,0,-0.006668731,0.012889665,0.0,-0.052418298,-2.36e-05,0.046109299,0,-0.098711883,0,-3e-05,0,0,0,-0.006733824,-9.42e-05,-0.006662617,0,0,0.0,0,0.0,0,0,0,0.0,-0.002171279,0,0,-0.009446183,0,0,0,0,-0.006820525,-0.006660129,0,0,-2.36e-05,0.0,-2.36e-05,0,0,-0.007175746,0,0.005082376,-0.000477,0,0,0,-1.670874954,0.0,0,0,0.0,-2.36e-05,0.0,0,-0.000996,0,0,0.007606832,0.007606832,0.007606832,0,0,-2.36e-05,0,0.0,0,-0.007150354,0,0,-0.001876581,0,-0.005792873,0,0,0,0,0,0,0.0,0.0,-0.000673,0,0,0.0,0,0,0,0,0,0,0
748,45,0,0,0,0,0,0.0,0,0,0,0,0,-2.49e-05,0,0,0.0,0.008041943,0.0,0,0,0,0.0,0,0.0,0.08408922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.49e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.102041065,0,-0.000637,0,0.0,0,0,0.0,0.886272177,0,0,0,0,0,0,0,0.002501701,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.49e-05,0.0,-0.074885074,0.0,0,0,0,-0.006243332,0,0,0,0.0,-0.006922024,0.0,0,0,-0.10174931,0,0.0,0.0,0,-0.008738202,0.013354836,0.0,-0.031759698,-2.49e-05,0.047609689,0,-0.102065967,0,-3e-05,0,0,0,-0.008906684,-9.96e-05,-0.009198353,0,0,0.0,0,0.0,0,0,0,0.0,-0.002295476,0,0,-0.012614545,0,0,0,0,-0.009088047,-0.008779155,0,0,-2.49e-05,0.0,-2.49e-05,0,0,-0.009775258,0,0.007562147,-0.000504,0,0,0,-1.777311918,0.0,0,0,0.0,-2.49e-05,0.0,0,-0.001052673,0,0,0.008041943,0.008041943,0.008041943,0,0,-2.49e-05,0,0.0,0,-0.009700064,0,0,-0.001983922,0,-0.007701398,0,0,0,0,0,0,0.0,0.0,-0.000712,0,0,0.0,0,0,0,0,0,0,0
762,46,0,0,0,0,0,0.0,0,0,0,0,0,-2.62e-05,0,0,0.0,0.0084713,0.0,0,0,0,0.0,0,0.0,0.085752069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.105677363,0,-0.000671,0,0.0,0,0,0.0,0.907277494,0,0,0,0,0,0,0,0.004437113,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.62e-05,0.0,-0.067208389,0.0,0,0,0,-0.007637138,0,0,0,0.0,-0.008048523,0.0,0,0,-0.105386937,0,0.0,0.0,0,-0.010770864,0.013915028,0.0,-0.012460961,-2.62e-05,0.049254187,0,-0.105703594,0,-3e-05,0,0,0,-0.011080858,-0.000105,-0.011828143,0,0,0.0,0,0.0,0,0,0,0.0,-0.002418031,0,0,-0.016005669,0,0,0,0,-0.011375102,-0.010900723,0,0,-2.62e-05,0.0,-2.62e-05,0,0,-0.012503155,0,0.010171886,-0.000531,0,0,0,-1.897013637,0.0,0,0,0.0,-2.62e-05,0.0,0,-0.001108875,0,0,0.0084713,0.0084713,0.0084713,0,0,-2.62e-05,0,0.0,0,-0.012456073,0,0,-0.002089843,0,-0.009498624,0,0,0,0,0,0,0.0,0.0,-0.00075,0,0,0.0,0,0,0,0,0,0,0
776,47,0,0,0,0,0,0.0,0,0,0,0,0,-2.74e-05,0,0,0.0,0.008835346,0.0,0,0,0,0.0,0,0.0,0.089151007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.74e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.10958054,0,-0.0007,0,0.0,0,0,0.0,0.935574911,0,0,0,0,0,0,0,0.006190203,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.74e-05,0.0,-0.060726851,0.0,0,0,0,-0.009178272,0,0,0,0.0,-0.009075907,0.0,0,0,-0.109607898,0,0.0,0.0,0,-0.012767794,0.014511686,0.0,0.00582148,-2.74e-05,0.051216868,0,-0.109607898,0,-3e-05,0,0,0,-0.013268908,-0.000109,-0.014636561,0,0,0.0,0,0.0,0,0,0,0.0,-0.002521944,0,0,-0.01966738,0,0,0,0,-0.013426346,-0.013013632,0,0,-2.74e-05,0.0,-2.74e-05,0,0,-0.015365974,0,0.012934521,-0.000554,0,0,0,-2.030563198,0.0,0,0,0.0,-2.74e-05,0.0,0,-0.001156528,0,0,0.008835346,0.008835346,0.008835346,0,0,-2.74e-05,0,0.0,0,-0.015349655,0,0,-0.002179652,0,-0.01119711,0,0,0,0,0,0,0.0,0.0,-0.000782,0,0,0.0,0,0,0,0,0,0,0
790,48,0,0,0,0,0,0.0,0,0,0,0,0,-2.87e-05,0,0,0.0,0.009282882,0.0,0,0,0,0.0,0,0.0,0.093355066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.113676771,0,-0.000736,0,0.0,0,0,0.0,0.970051211,0,0,0,0,0,0,0,0.008191655,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.87e-05,0.0,-0.055275243,0.0,0,0,0,-0.010831773,0,0,0,0.0,-0.010033051,0.0,0,0,-0.113705515,0,0.0,0.0,0,-0.01475362,0.015245181,0.0,0.023260844,-2.87e-05,0.05308398,0,-0.113705515,0,-3e-05,0,0,0,-0.015472197,-0.000115,-0.017635189,0,0,0.0,0,0.0,0,0,0,0.0,-0.002649688,0,0,-0.023621401,0,0,0,0,-0.01579433,-0.015066909,0,0,-2.87e-05,0.0,-2.87e-05,0,0,-0.018358768,0,0.015804155,-0.000582,0,0,0,-2.172704047,0.0,0,0,0.0,-2.87e-05,0.0,0,-0.00121511,0,0,0.009282882,0.009282882,0.009282882,0,0,-2.87e-05,0,0.0,0,-0.018376276,0,0,-0.002290058,0,-0.012803838,0,0,0,0,0,0,0.0,0.0,-0.000822,0,0,0.0,0,0,0,0,0,0,0
804,49,0,0,0,0,0,0.0,0,0,0,0,0,-3.04e-05,0,0,0.0,0.009811814,0.0,0,0,0,0.0,0,0.0,0.098385318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.04e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.118038479,0,-0.000778,0,0.0,0,0,0.0,1.01082931,0,0,0,0,0,0,0,0.010187653,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.04e-05,0.0,-0.050765025,0.0,0,0,0,-0.012576302,0,0,0,0.0,-0.010949965,0.0,0,0,-0.118068861,0,0.0,0.0,0,-0.016790672,0.016112081,0.0,0.04002398,-3.04e-05,0.055050911,0,-0.118068861,0,-3e-05,0,0,0,-0.017705825,-0.000122,-0.020779174,0,0,0.0,0,0.0,0,0,0,0.0,-0.002800665,0,0,-0.027907836,0,0,0,0,-0.018223522,-0.01705992,0,0,-3.04e-05,0.0,-3.04e-05,0,0,-0.021494186,0,0.018794013,-0.000615,0,0,0,-2.324417081,0.0,0,0,0.0,-3.04e-05,0.0,0,-0.001284346,0,0,0.009811814,0.009811814,0.009811814,0,0,-3.04e-05,0,0.0,0,-0.021549114,0,0,-0.002420543,0,-0.014329066,0,0,0,0,0,0,0.0,0.0,-0.000869,0,0,0.0,0,0,0,0,0,0,0
946,50,0,0,0,0,0,0.0,0,0,0,0,0,-3.23e-05,0,0,0.0,0.010418397,0.0,0,0,0,0.0,0,0.0,0.106233488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.122733188,0,-0.000826,0,0.0,0,0,0.0,1.045637002,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.23e-05,0.0,-0.047056923,0.0,0,0,0,-0.014286712,0,0,0,0.0,-0.01185094,0.0,0,0,-0.106102696,0,0.0,0.0,0,-0.018879758,0.017106247,0.0,0.054161283,-3.23e-05,0.048821561,0,-0.122765449,0,-3e-05,0,0,0,-0.019984419,-0.000129,-0.024083559,0,0,0.0,0,0.0,0,0,0,0.0,-0.002973806,0,0,-0.031912946,0,0,0,0,-0.00853266,-0.018992804,0,0,-3.23e-05,0.0,-3.23e-05,0,0,-0.024786694,0,0.021919592,-0.000653,0,0,0,-2.455298971,0.0,0,0,0.0,-3.23e-05,0.0,0,-0.001363746,0,0,0.010418397,0.010418397,0.010418397,0,0,-3.23e-05,0,0.0,0,-0.02555767,0,0,-0.002570185,0,-0.015780699,0,0,0,0,0,0,0.0,0.0,-0.000922,0,0,0.0,0,0,0,0,0,0,0
