,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
688,41,0,0,0,0,0,0.0,0,0,0,0,0,-1.02e-05,0,0,0.0,0.003295589,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.02e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.00555557,0,0.0,0,0.0,0,0,0.0,0.07284864,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.02e-05,0.0,-0.021789958,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.002675967,0,0.0,0.0,0,0.0,0.001,0.0,-0.02824551,-1.02e-05,0.0,0,0.004822213,0,-1e-05,0,0,0,0.0,-4.08e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.02e-05,0.0,-1.02e-05,0,0,0.0,0,0.0,0.0,0,0,0,0.035982698,0.0,0,0,0.0,-1.02e-05,0.0,0,0.0,0,0,0.003295589,0.003295589,0.003295589,0,0,-1.02e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
698,42,0,0,0,0,0,0.0,0,0,0,0,0,-1.69e-05,0,0,0.0,0.005445706,0.0,0,0,0,0.0,0,0.0,-0.001316764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.69e-05,0,0,0,0.0,0,0,0,0,0,-8.22e-07,-0.008188946,0,-0.000432,0,0.0,0,0,0.0,0.055384796,0,0,0,0,0,0,0,-0.002044257,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.69e-05,0.0,-0.011465688,0.0,0,0,0,-0.002347658,0,0,0,0.0,-0.001003941,0.0,0,0,-0.004421828,0,0.0,0.0,0,-0.002347658,0.001236158,0.0,-0.003876383,-1.69e-05,0.0,0,0.008172084,0,-1.07e-05,0,0,0,-0.002347658,-6.74e-05,-0.002347658,0,0,0.0,0,0.0,0,0,0,0.0,-0.001554411,0,0,-0.002347658,0,0,0,0,-0.001951883,-0.002347658,0,0,-1.69e-05,0.0,-1.69e-05,0,0,-0.000674,0,-0.000841,-0.000257,0,0,0,0.014169505,0.0,0,0,0.0,-1.69e-05,0.0,0,-0.000713,0,0,0.005445706,0.005445706,0.005445706,0,0,-1.69e-05,0,0.0,0,-0.002347658,0,0,-0.001343438,0,-0.002347658,0,0,0,0,0,0,0.0,0.0,-0.000482,0,0,0.0,0,0,0,0,0,0,0
712,43,0,0,0,0,0,0.0,0,0,0,0,0,-2.26e-05,0,0,0.0,0.007285427,0.0,0,0,0,0.0,0,0.0,-0.001761605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-7.48e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.26e-05,0,0,0,0.0,0,0,0,0,0,-1.79e-05,-0.013872775,0,-0.000577,0,0.0,0,0,0.0,0.055515231,0,0,0,0,0,0,0,-0.002734868,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.26e-05,0.0,-0.00885097,-2.26e-05,0,0,0,-0.003849104,0,0,0,0.0,-0.001343102,0.0,0,0,-0.005915652,0,0.0,0.0,0,-0.004524678,0.001391668,0.0,0.008732774,-2.26e-05,0.0,0,0.013850216,0,-3.14e-05,0,0,0,-0.004545709,0.0,-0.00426519,0,0,-9.02e-05,0,0.0,0,0,0,0.0,-0.002079538,0,0,-0.005933479,0,0,0,0,-0.002611287,-0.004530566,0,0,-2.26e-05,0.0,-2.26e-05,0,0,-0.000902,0,-0.00112574,-0.000344,0,0,0,0.009040569,0.0,0,0,0.0,-2.26e-05,0.0,0,-0.000954,0,0,0.007285427,0.007285427,0.007285427,0,0,-2.26e-05,0,0.0,0,-0.004692182,0,0,-0.001797292,0,-0.004030119,0,0,0,0,0,0,0.0,0.0,-0.000645,0,0,0.0,0,0,0,0,0,0,0
726,44,0,0,0,0,0,0.0,0,0,0,0,0,-2.48e-05,0,0,0.0,0.008005343,0.0,0,0,0,0.0,0,0.0,-0.00193568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000192,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.48e-05,0,0,0,0.0,0,0,0,0,0,-2.48e-05,-0.017551304,0,-0.000635,0,0.0,0,0,0.0,0.042763961,0,0,0,0,0,0,0,-0.003005116,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.48e-05,0.0,-0.003364968,-2.48e-05,0,0,0,-0.005031078,0,0,0,0.0,-0.001475822,0.0,0,0,-0.006500213,0,0.0,0.0,0,-0.006665189,0.001442098,0.0,0.021374406,-2.48e-05,0.0,0,0.017526515,0,-3.14e-05,0,0,0,-0.006730247,0.0,-0.006659078,0,0,-9.92e-05,0,0.0,0,0,0,0.0,-0.002285029,0,0,-0.003561986,0,0,0,0,-0.002869324,-0.006656591,0,0,-2.48e-05,0.0,-2.48e-05,0,0,-0.000991,0,-0.001236981,-0.000378,0,0,0,1e-05,0.0,0,0,0.0,-2.48e-05,0.0,0,-0.001047882,0,0,0.008005343,0.008005343,0.008005343,0,0,-2.48e-05,0,0.0,0,-0.007146556,0,0,-0.001974893,0,-0.005789796,0,0,0,0,0,0,0.0,0.0,-0.000709,0,0,0.0,0,0,0,0,0,0,0
740,45,0,0,0,0,0,0.0,0,0,0,0,0,-2.62e-05,0,0,0.0,0.008455267,0.0,0,0,0,0.0,0,0.0,-0.002044471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000355,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.62e-05,0,0,0,0.0,0,0,0,0,0,-2.62e-05,-0.018468856,0,-0.00067,0,0.0,0,0,0.0,0.04121983,0,0,0,0,0,0,0,-0.003174013,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.62e-05,0.0,-0.004582434,-2.62e-05,0,0,0,-0.006250605,0,0,0,0.0,-0.001558768,0.0,0,0,-0.006865544,0,0.0,0.0,0,-0.008748382,0.001526719,0.0,0.019347604,-2.62e-05,0.0,0,0.018442675,0,-1.16e-05,0,0,0,-0.00891706,0.0,-0.009209069,0,0,-0.000105,0,0.0,0,0,0,0.0,-0.002413455,0,0,0.0,0,0,0,0,-0.003030589,-0.002974016,0,0,-2.62e-05,0.0,-2.62e-05,0,0,-0.001046534,0,-0.001306504,-0.000399,0,0,0,1e-05,0.0,0,0,0.0,-2.62e-05,0.0,0,-0.001106777,0,0,0.008455267,0.008455267,0.008455267,0,0,-2.62e-05,0,0.0,0,0.0,0,0,-0.002085888,0,-0.00771037,0,0,0,0,0,0,0.0,0.0,-0.000749,0,0,0.0,0,0,0,0,0,0,0
754,46,0,0,0,0,0,0.0,0,0,0,0,0,-2.73e-05,0,0,0.0,0.00883009,0.0,0,0,0,0.0,0,0.0,-0.002135103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000612,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.73e-05,0,0,0,0.0,0,0,0,0,0,-2.73e-05,-0.018714296,0,-0.0007,0,0.0,0,0,0.0,0.039898342,0,0,0,0,0,0,0,-0.003314717,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.73e-05,0.0,-0.004779969,-2.73e-05,0,0,0,-0.007658066,0,0,0,0.0,-0.001627868,0.0,0,0,-0.007169894,0,0.0,0.0,0,-0.010800379,0.001640414,0.0,0.022597071,-2.73e-05,0.0,0,0.018686954,0,-1.23e-05,0,0,0,-0.011111223,0.0,-0.00494884,0,0,-0.000109,0,0.0,0,0,0,0.0,-0.002520443,0,0,0.0,0,0,0,0,-0.003164935,0.0,0,0,-2.73e-05,0.0,-2.73e-05,0,0,-0.001092927,0,-0.001364421,-0.000417,0,0,0,1e-05,0.0,0,0,0.0,-2.73e-05,0.0,0,-0.00115584,0,0,0.00883009,0.00883009,0.00883009,0,0,-2.73e-05,0,0.0,0,0.0,0,0,-0.002178355,0,-0.009524653,0,0,0,0,0,0,0.0,0.0,-0.000782,0,0,0.0,0,0,0,0,0,0,0
768,47,0,0,0,0,0,0.0,0,0,0,0,0,-2.87e-05,0,0,0.0,0.009253768,0.0,0,0,0,0.0,0,0.0,-0.002237547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000973,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.87e-05,0,0,0,0.0,0,0,0,0,0,-2.87e-05,-0.017663923,0,-0.000733,0,0.0,0,0,0.0,0.043553604,0,0,0,0,0,0,0,-0.003473761,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.87e-05,0.0,-0.005519243,-2.87e-05,0,0,0,-0.009211169,0,0,0,0.0,-0.001705975,0.0,0,0,-0.007513915,0,0.0,0.0,0,-0.010616108,0.001776923,0.0,0.023786437,-2.87e-05,0.0,0,0.017635269,0,-1.22e-05,0,0,0,-0.013316467,0.0,0.0,0,0,-0.000115,0,0.0,0,0,0,0.0,-0.002641377,0,0,0.0,0,0,0,0,-0.003316792,0.0,0,0,-2.87e-05,0.0,-2.87e-05,0,0,-0.001145367,0,-0.001429888,-0.000437,0,0,0,1e-05,0.0,0,0,0.0,-2.87e-05,0.0,0,-0.001211299,0,0,0.009253768,0.009253768,0.009253768,0,0,-2.87e-05,0,0.0,0,0.0,0,0,-0.002282875,0,-0.011237244,0,0,0,0,0,0,0.0,0.0,-0.000819,0,0,0.0,0,0,0,0,0,0,0
782,48,0,0,0,0,0,0.0,0,0,0,0,0,-3.03e-05,0,0,0.0,0.00978492,0.0,0,0,0,0.0,0,0.0,-0.002365979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.001449019,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03e-05,0,0,0,0.0,0,0,0,0,0,-3.03e-05,-0.017036588,0,-0.000776,0,0.0,0,0,0.0,0.051646958,0,0,0,0,0,0,0,-0.00367315,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.03e-05,0.0,-0.006306767,-3.03e-05,0,0,0,-0.010883245,0,0,0,0.0,-0.001803896,0.0,0,0,-0.007945201,0,0.0,0.0,0,-0.005886147,0.001935156,0.0,0.020727058,-3.03e-05,0.0,0,0.017006289,0,-1.24e-05,0,0,0,-0.01554572,0.0,0.0,0,0,-0.000121,0,0.0,0,0,0,0.0,-0.002792988,0,0,0.0,0,0,0,0,-0.003507171,0.0,0,0,-3.03e-05,0.0,-3.03e-05,0,0,-0.00121111,0,-0.001511961,-0.000462,0,0,0,1e-05,0.0,0,0,0.0,-3.03e-05,0.0,0,-0.001280825,0,0,0.00978492,0.00978492,0.00978492,0,0,-3.03e-05,0,0.0,0,0.0,0,0,-0.002413909,0,-0.012864682,0,0,0,0,0,0,0.0,0.0,-0.000866,0,0,0.0,0,0,0,0,0,0,0
796,49,0,0,0,0,0,0.0,0,0,0,0,0,-3.23e-05,0,0,0.0,0.010422453,0.0,0,0,0,0.0,0,0.0,-0.002520134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.002055783,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.23e-05,0,0,0,0.0,0,0,0,0,0,-3.23e-05,-0.016827738,0,-0.000826,0,0.0,0,0,0.0,0.059178511,0,0,0,0,0,0,0,-0.003912473,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.23e-05,0.0,-0.007144915,-3.23e-05,0,0,0,-0.012656467,0,0,0,0.0,-0.001921428,0.0,0,0,-0.008462869,0,0.0,0.0,0,-0.001514948,0.002115734,0.0,0.018376794,-3.23e-05,0.0,0,0.016795466,0,-1.27e-05,0,0,0,-0.017818687,0.0,0.0,0,0,-0.000129,0,0.0,0,0,0,0.0,-0.002974964,0,0,0.0,0,0,0,0,-0.00373568,0.0,0,0,-3.23e-05,0.0,-3.23e-05,0,0,-0.001290019,0,-0.001610472,-0.000492,0,0,0,1e-05,0.0,0,0,0.0,-3.23e-05,0.0,0,-0.001364277,0,0,0.010422453,0.010422453,0.010422453,0,0,-3.23e-05,0,0.0,0,0.0,0,0,-0.002571186,0,-0.014420404,0,0,0,0,0,0,0.0,0.0,-0.000923,0,0,0.0,0,0,0,0,0,0,0
938,50,0,0,0,0,0,0.0,0,0,0,0,0,-3.45e-05,0,0,0.0,0.011157588,0.0,0,0,0,0.0,0,0.0,-0.002697888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.002811054,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.45e-05,0,0,0,0.0,0,0,0,0,0,-3.45e-05,-0.018275409,0,-0.000884,0,0.0,0,0,0.0,0.060973632,0,0,0,0,0,0,0,-0.004188434,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.45e-05,0.0,-0.008015731,-3.45e-05,0,0,0,-0.014408931,0,0,0,0.0,-0.002056953,0.0,0,0,-0.009059786,0,0.0,0.0,0,0.0,0.002316172,0.0,0.019335679,-3.45e-05,0.0,0,0.01824086,0,-1.34e-05,0,0,0,-0.017724644,0.0,0.0,0,0,-0.000138,0,0.0,0,0,0,0.0,-0.0031848,0,0,0.0,0,0,0,0,-0.003999171,0.0,0,0,-3.45e-05,0.0,-3.45e-05,0,0,-0.001381009,0,-0.001724065,-0.000527,0,0,0,1e-05,0.0,0,0,0.0,-3.45e-05,0.0,0,-0.001460505,0,0,0.011157588,0.011157588,0.011157588,0,0,-3.45e-05,0,0.0,0,0.0,0,0,-0.002752541,0,-0.015915699,0,0,0,0,0,0,0.0,0.0,-0.000988,0,0,0.0,0,0,0,0,0,0,0
