,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
690,41,0,0,0,0,0,-0.004287786,0,0,0,0,0,-4.69e-07,0,0,0.0,0.000151,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.69e-07,0,0,0,0.0,0,0,0,0,0,0.0,-3.37e-05,0,0.0,0,0.0,0,0,-4.69e-07,0.04114245,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.000361,0,0.0,0.0,0,0.0,-0.00851412,-4.69e-07,0.0,0.0,0.000166,0,0.0,0,-1e-05,0,0,0,0.0,0.0,0.0,0,0,-9.38e-07,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.088033439,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0,0.000151,0.000151,0.000151,0,0,0.0,0,0.005087071,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
701,42,0,0,0,0,0,-0.009820697,0,0,0,0,0,-1.23e-06,0,0,0.0,0.000397,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.23e-06,0,0,0,0.0,0,0,0,0,0,0.0,-8.83e-05,0,0.0,0,0.0,0,0,-1.23e-06,0.094871281,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.23e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.001266244,0,0.0,0.0,0,0.0,-0.013071655,-1.23e-06,0.0,-1.23e-06,0.000596,0,0.0,0,-3.07e-05,0,0,0,0.0,-1.23e-06,0.0,0,0,-2.46e-06,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.002372431,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.181829437,0.0,0,0,0.0,-1.23e-06,0.0,0,0.0,0,0,0.000397,0.000397,0.000397,0,0,0.0,0,0.012327011,0,0.0,0,0,0.0,0,-0.000222,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
715,43,0,0,0,0,0,-0.015150205,0,0,0,0,0,-1.96e-06,0,0,0.0,0.000633,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-7.5e-05,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.96e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000141,0,0.0,0,0.0,0,0,-1.96e-06,0.14743197,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.96e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.002465976,0,0.0,0.0,0,0.0,-0.018003877,-1.96e-06,0.0,-1.96e-06,0.001174406,0,0.0,0,-1.14e-05,0,0,0,0.0,-1.96e-06,0.0,0,0,-3.92e-06,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.004537346,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.275408091,0.0,0,0,0.0,-1.96e-06,0.0,0,0.0,0,0,0.000633,0.000633,0.000633,0,0,0.0,0,0.019404233,0,0.0,0,0,0.0,0,-0.000354,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
729,44,0,0,0,0,0,-0.020438776,0,0,0,0,0,-2.68e-06,0,0,0.0,0.000866,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000166,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.68e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000193,0,0.0,0,0.0,0,0,-2.68e-06,0.199661971,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.68e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.003614029,0,0.0,0.0,0,0.0,-0.023229272,-2.68e-06,0.0,-2.68e-06,0.0017269,0,0.0,0,-3.14e-05,0,0,0,0.0,-2.68e-06,0.0,0,0,-5.36e-06,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.006509256,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.369619241,0.0,0,0,0.0,-2.68e-06,0.0,0,0.0,0,0,0.000866,0.000866,0.000866,0,0,0.0,0,0.026392331,0,0.0,0,0,0.0,0,-0.000484,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
743,45,0,0,0,0,0,-0.025524194,0,0,0,0,0,-3.36e-06,0,0,0.0,0.001085764,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000209,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000242,0,0.0,0,0.0,0,0,-3.36e-06,0.249306709,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.36e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.004729629,0,0.0,0.0,0,0.0,-0.028345794,-3.36e-06,0.0,-3.36e-06,0.002264355,0,0.0,0,-3.15e-05,0,0,0,0.0,-3.36e-06,0.0,0,0,-6.72e-06,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.008372793,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.459163533,0.0,0,0,0.0,-3.36e-06,0.0,0,0.0,0,0,0.001085764,0.001085764,0.001085764,0,0,0.0,0,0.032935634,0,0.0,0,0,0.0,0,-0.000607,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
757,46,0,0,0,0,0,-0.030353234,0,0,0,0,0,-4.01e-06,0,0,0.0,0.001294682,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000249,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.01e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000288,0,0.0,0,0.0,0,0,-4.01e-06,0.295131527,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.01e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.002276304,0,0.0,0.0,0,0.0,-0.033408879,-4.01e-06,0.0,-4.01e-06,0.001018362,0,0.0,0,-3.21e-05,0,0,0,0.0,-4.01e-06,0.0,0,0,-8.02e-06,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.010148324,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.544145592,0.0,0,0,0.0,-4.01e-06,0.0,0,0.0,0,0,0.001294682,0.001294682,0.001294682,0,0,0.0,0,0.03936983,0,0.0,0,0,0.0,0,-0.000723,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
771,47,0,0,0,0,0,-0.035252131,0,0,0,0,0,-4.66e-06,0,0,0.0,0.00150462,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000289,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.66e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000335,0,0.0,0,0.0,0,0,-4.66e-06,0.34445939,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.66e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.006854617,0,0.0,0.0,0,0.0,-0.038468861,-4.66e-06,0.0,-4.66e-06,0.003288094,0,0.0,0,-3.2e-05,0,0,0,0.0,-4.66e-06,0.0,0,0,-9.32e-06,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.011839898,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.632003054,0.0,0,0,0.0,-4.66e-06,0.0,0,0.0,0,0,0.00150462,0.00150462,0.00150462,0,0,0.0,0,0.045529058,0,0.0,0,0,0.0,0,-0.000841,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
785,48,0,0,0,0,0,-0.039954829,0,0,0,0,0,-5.28e-06,0,0,0.0,0.001705229,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000328,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.28e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000379,0,0.0,0,0.0,0,0,-5.28e-06,0.390354141,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-5.28e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.007872371,0,0.0,0.0,0,0.0,-0.043565399,-5.28e-06,0.0,-5.28e-06,0.003778409,0,0.0,0,-3.21e-05,0,0,0,0.0,-5.28e-06,0.0,0,0,-1.06e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.013413362,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.715984017,0.0,0,0,0.0,-5.28e-06,0.0,0,0.0,0,0,0.001705229,0.001705229,0.001705229,0,0,0.0,0,0.05154734,0,0.0,0,0,0.0,0,-0.000953,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
799,49,0,0,0,0,0,-0.044554554,0,0,0,0,0,-5.88e-06,0,0,0.0,0.001899991,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000365,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-5.88e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000423,0,0.0,0,0.0,0,0,-5.88e-06,0.43522997,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-5.88e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.008860459,0,0.0,0.0,0,0.0,-0.048740834,-5.88e-06,0.0,-5.88e-06,0.004254433,0,0.0,0,-3.24e-05,0,0,0,0.0,-5.88e-06,0.0,0,0,-1.18e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.014872764,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.798723991,0.0,0,0,0.0,-5.88e-06,0.0,0,0.0,0,0,0.001899991,0.001899991,0.001899991,0,0,0.0,0,0.057413204,0,0.0,0,0,0.0,0,-0.001061486,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
941,50,0,0,0,0,0,-0.049093025,0,0,0,0,0,-6.47e-06,0,0,0.0,0.002090435,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,-0.000402,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-6.47e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000465,0,0.0,0,0.0,0,0,-6.47e-06,0.479391677,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.47e-06,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.009826639,0,0.0,0.0,0,0.0,-0.054023175,-6.47e-06,0.0,-6.47e-06,0.004719903,0,0.0,0,-3.28e-05,0,0,0,0.0,-6.47e-06,0.0,0,0,-1.29e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,-0.016218341,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,-0.880671236,0.0,0,0,0.0,-6.47e-06,0.0,0,0.0,0,0,0.002090435,0.002090435,0.002090435,0,0,0.0,0,0.063126516,0,0.0,0,0,0.0,0,-0.001167883,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
