,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
695,41,0,0,0,0,0,0.0,0,0,0,0,0,-1.62e-05,0,0,0.0,0.002256781,0.0,0,0,0,1.62e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.019693889,0,0.0,0,0.0,0,0,0.0,0.225360483,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,1.62e-05,0,0,0,0,0,0,0,0,-1.62e-05,0.0,-0.030716149,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,-0.002810857,0,0.0,0.0,0,0.0,0.100317608,0.0,-0.017007455,-1.62e-05,0.0,0,-0.020208468,0,-1e-05,0,0,0,0.0,-6.5e-05,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.62e-05,0.0,-1.62e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-1.62e-05,0.0,0,0.0,0,0,0.002256781,0.002256781,0.002256781,0,0,-1.62e-05,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,1.62e-05,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
709,42,0,0,0,0,0,0.0,0,0,0,0,0,-2.17e-05,0,0,0.0,0.0030106,0.0,0,0,0,2.17e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-3.3e-07,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.17e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000247,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,2.17e-05,0,0,0,0,0,0,0,0,-2.17e-05,0.0,0.0,0.0,0,0,0,-0.04092561,0,0,0,0.0,-0.041058808,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.100502924,0.0,0.000849,-2.17e-05,-0.001874876,0,0.0,0,-3e-05,0,0,0,0.0,-8.66e-05,-0.04092561,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.15240921,0,0,0,0,0.0,0.0,0,0,-2.17e-05,0.050628216,-2.17e-05,0,0,-0.000356,0,-0.00053,-0.000164,0,0,0,1e-05,0.0,0,0,0.0,-2.17e-05,0.0,0,-0.000385,0,0,0.0030106,0.0030106,0.0030106,0,0,-2.17e-05,0,0.0,0,0.0,0,0,-0.004792981,0,-0.04092561,0,0,0,0,0,0,2.17e-05,0.0,-0.000301,0,0,0.0,0,0,0,0,0,0,0
723,43,0,0,0,0,0,0.0,0,0,0,0,0,-2.41e-05,0,0,0.0,0.003352324,0.0,0,0,0,2.41e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.19e-07,0,-0.000661,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.41e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000275,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.001315027,0,0.0,0,2.41e-05,0,0,0,0,0,0,0,0,-2.41e-05,0.0,0.0,0.0,0,0,0,-0.063026971,0,0,0,-0.000711,-0.068143373,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.099041618,0.0,0.0,-2.41e-05,-0.002087687,0,0.0,0,-3e-05,0,0,0,0.0,0.0,-0.004678928,0,0,-9.65e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.097633805,0,0,0,0,0.0,0.0,0,0,-2.41e-05,0.067397398,-2.41e-05,0,0,-0.000396,0,-0.000591,-0.000183,0,0,0,1e-05,0.0,0,0,0.0,-2.41e-05,0.0,0,-0.000429,0,0,0.003352324,0.003352324,0.003352324,0,0,-2.41e-05,0,0.0,0,0.0,0,0,0.0,0,-0.02440566,0,0,0,0,0,0,2.41e-05,-4.82e-05,-0.000336,0,0,0.0,0,0,0,0,0,0,0
737,44,0,0,0,0,0,0.0,0,0,0,0,0,-2.44e-05,0,0,0.0,0.003393469,0.0,0,0,0,2.44e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-8.25e-07,0,-0.000669,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000278,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.003359011,0,0.0,0,2.44e-05,0,0,0,0,0,0,0,0,-2.44e-05,0.0,0.0,0.0,0,0,0,-0.057678015,0,0,0,0.0,-0.085405627,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.091357189,0.0,0.0,-2.44e-05,-0.002113311,0,0.0,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-9.77e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.070143051,0,0,0,0,0.0,0.0,0,0,-2.44e-05,0.069114933,-2.44e-05,0,0,-0.000401,0,-0.000598,-0.000185,0,0,0,1e-05,0.0,0,0,0.0,-2.44e-05,0.0,0,-0.000434,0,0,0.003393469,0.003393469,0.003393469,0,0,-2.44e-05,0,0.0,0,0.0,0,0,-0.004011114,0,0.0,0,0,0,0,0,0,2.44e-05,-4.88e-05,-0.00034,0,0,0.0,0,0,0,0,0,0,0
751,45,0,0,0,0,0,0.0,0,0,0,0,0,-2.44e-05,0,0,0.0,0.003388811,0.0,0,0,0,2.44e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-9.33e-07,0,-0.000668,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000278,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.005870303,0,0.0,0,2.44e-05,0,0,0,0,0,0,0,0,-2.44e-05,0.0,0.0,0.0,0,0,0,-0.038365527,0,0,0,0.0,-0.09633635,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.084939789,0.0,0.0,-2.44e-05,-0.00211041,0,0.0,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-9.75e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.054242609,0,0,0,0,0.0,0.0,0,0,-2.44e-05,0.068044384,-2.44e-05,0,0,-0.000401,0,-0.000597,-0.000185,0,0,0,1e-05,0.0,0,0,0.0,-2.44e-05,0.0,0,-0.000433,0,0,0.003388811,0.003388811,0.003388811,0,0,-2.44e-05,0,0.0,0,0.0,0,0,-0.001856962,0,0.0,0,0,0,0,0,0,2.44e-05,-4.88e-05,-0.000339,0,0,0.0,0,0,0,0,0,0,0
765,46,0,0,0,0,0,0.0,0,0,0,0,0,-2.44e-05,0,0,0.0,0.003384418,0.0,0,0,0,2.44e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-9.27e-07,0,-0.000667,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000277,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.008697524,0,0.0,0,2.44e-05,0,0,0,0,0,0,0,0,-2.44e-05,0.0,0.0,0.0,0,0,0,-0.023170129,0,0,0,0.0,-0.102996597,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.079604379,0.0,0.0,-2.44e-05,-0.002107674,0,0.0,0,-2e-05,0,0,0,0.0,0.0,0.0,0,0,-9.74e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.045817413,0,0,0,0,0.0,0.0,0,0,-2.44e-05,0.066060668,-2.44e-05,0,0,-0.0004,0,-0.000596,-0.000184,0,0,0,1e-05,0.0,0,0,0.0,-2.44e-05,0.0,0,-0.000433,0,0,0.003384418,0.003384418,0.003384418,0,0,-2.44e-05,0,0.0,0,0.0,0,0,-0.001382093,0,0.0,0,0,0,0,0,0,2.44e-05,-4.87e-05,-0.000339,0,0,0.0,0,0,0,0,0,0,0
779,47,0,0,0,0,0,0.0,0,0,0,0,0,-2.43e-05,0,0,0.0,0.003382058,0.0,0,0,0,2.43e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-8.65e-07,0,-0.000667,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000277,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.011739957,0,0.0,0,2.43e-05,0,0,0,0,0,0,0,0,-2.43e-05,0.0,0.0,0.0,0,0,0,-0.010955379,0,0,0,0.0,-0.106672759,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.075101549,0.0,0.0,-2.43e-05,-0.002106204,0,0.0,0,-1e-05,0,0,0,0.0,0.0,0.0,0,0,-9.73e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.04272699,0,0,0,0,0.0,0.0,0,0,-2.43e-05,0.063477527,-2.43e-05,0,0,-0.0004,0,-0.000596,-0.000184,0,0,0,1e-05,0.0,0,0,0.0,-2.43e-05,0.0,0,-0.000433,0,0,0.003382058,0.003382058,0.003382058,0,0,-2.43e-05,0,0.0,0,0.0,0,0,-0.002094909,0,0.0,0,0,0,0,0,0,2.43e-05,-4.87e-05,-0.000339,0,0,0.0,0,0,0,0,0,0,0
793,48,0,0,0,0,0,0.0,0,0,0,0,0,-2.43e-05,0,0,0.0,0.003379719,0.0,0,0,0,2.43e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-7.85e-07,0,-0.000667,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.43e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000277,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.014887553,0,0.0,0,2.43e-05,0,0,0,0,0,0,0,0,-2.43e-05,0.0,0.0,0.0,0,0,0,-0.000911,0,0,0,0.0,-0.108272725,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.07126882,0.0,0.0,-2.43e-05,-0.002104748,0,0.0,0,-3e-05,0,0,0,0.0,0.0,0.0,0,0,-9.73e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.043150949,0,0,0,0,0.0,0.0,0,0,-2.43e-05,0.060528575,-2.43e-05,0,0,-0.0004,0,-0.000595,-0.000184,0,0,0,1e-05,0.0,0,0,0.0,-2.43e-05,0.0,0,-0.000432,0,0,0.003379719,0.003379719,0.003379719,0,0,-2.43e-05,0,0.0,0,0.0,0,0,-0.003571257,0,0.0,0,0,0,0,0,0,2.43e-05,-4.86e-05,-0.000338,0,0,0.0,0,0,0,0,0,0,0
807,49,0,0,0,0,0,0.0,0,0,0,0,0,-2.44e-05,0,0,0.0,0.003395208,0.0,0,0,0,2.44e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-7.05e-07,0,-0.00067,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.44e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000278,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.016256064,0,0.0,0,2.44e-05,0,0,0,0,0,0,0,0,-2.44e-05,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,-0.108408432,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.067953643,0.0,0.0,-2.44e-05,-0.002114394,0,0.0,0,-1e-05,0,0,0,0.0,0.0,0.0,0,0,-9.77e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.44e-05,0.050693303,-2.44e-05,0,0,-0.000401,0,-0.000598,-0.000185,0,0,0,1e-05,0.0,0,0,0.0,-2.44e-05,0.0,0,-0.000434,0,0,0.003395208,0.003395208,0.003395208,0,0,-2.44e-05,0,0.0,0,0.047691651,0,0,-0.002464235,0,0.0,0,0,0,0,0,0,2.44e-05,-4.89e-05,-0.00034,0,0,0.0,0,0,0,0,0,0,0
949,50,0,0,0,0,0,0.0,0,0,0,0,0,-2.45e-05,0,0,0.0,0.003406208,0.0,0,0,0,2.45e-05,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.63e-07,0,-0.000672,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.45e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-0.000279,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.016083477,0,0.0,0,2.45e-05,0,0,0,0,0,0,0,0,-2.45e-05,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,-0.107509187,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.065012553,0.0,0.0,-2.45e-05,-0.002121244,0,0.0,0,-1e-05,0,0,0,0.0,0.0,0.0,0,0,-9.8e-05,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.45e-05,0.048499728,-2.45e-05,0,0,-0.000403,0,-0.0006,-0.000186,0,0,0,1e-05,0.0,0,0,0.0,-2.45e-05,0.0,0,-0.000436,0,0,0.003406208,0.003406208,0.003406208,0,0,-2.45e-05,0,0.0,0,0.053508498,0,0,-0.003610979,0,0.0,0,0,0,0,0,0,2.45e-05,-4.9e-05,-0.000341,0,0,0.0,0,0,0,0,0,0,0
