,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
697,42,0,0,0,0,0,0.0,0,0,0,0,0,-1.16e-07,0,0,0.0,4.12e-05,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44e-06,0,0,0,0,0,0,0,0,0,0,-3.4e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-3.27e-06,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.16e-07,0.0,0.0,0.000336,0,0,0,-0.001137943,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.002133749,0.0,0.0,-1.16e-07,-1.66e-05,0,-8.98e-06,0,-1e-05,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-1.16e-07,0,0,-4.97e-06,0,-6.37e-06,-1.94e-06,0,0,0,1e-05,0.0,0,0,0.0,-1.16e-07,0.0,0,0.0,0,0,4.12e-05,4.12e-05,4.12e-05,0,0,0.0,0,0.0,0,0.0,0,0,-4.82e-05,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
711,43,0,0,0,0,0,0.0,0,0,0,0,0,-3.04e-07,0,0,0.0,0.000108,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-6.51e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-8.58e-06,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-3.04e-07,0.0,0.0,0.00064,0,0,0,-0.002075197,0,0,0,0.0,-0.000215,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.003949043,0.0,0.0,-3.04e-07,-4.26e-05,0,0.0,0,-1e-05,0,0,0,0.0,-1.21e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-3.04e-07,0,0,-1.24e-05,0,-1.67e-05,-5.11e-06,0,0,0,1e-05,0.0,0,0,0.0,-3.04e-07,0.0,0,0.0,0,0,0.000108,0.000108,0.000108,0,0,0.0,0,0.0,0,0.0,0,0,-0.000114,0,0.0,0,0,0,0,0,0,0.0,0.0,-2.3e-05,0,0,0.0,0,0,0,0,0,0,0
725,44,0,0,0,0,0,0.0,0,0,0,0,0,-4.68e-07,0,0,0.0,0.000167,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-8.85e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-1.32e-05,0,-4.68e-07,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.68e-07,0.0,0.0,0.000908,0,0,0,-0.002887813,0,0,0,0.0,-0.000438,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.005553625,0.0,0.0,-4.68e-07,-6.65e-05,0,0.0,0,-4.05e-06,0,0,0,0.0,-1.87e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-4.68e-07,0,0,-2.01e-05,0,-2.58e-05,-7.87e-06,0,0,0,1e-05,0.0,0,0,0.0,-4.68e-07,0.0,0,0.0,0,0,0.000167,0.000167,0.000167,0,0,0.0,0,0.0,0,0.0,0,0,-0.00017,0,0.0,0,0,0,0,0,0,0.0,0.0,-3.54e-05,0,0,0.0,0,0,0,0,0,0,0
739,45,0,0,0,0,0,0.0,0,0,0,0,0,-6.16e-07,0,0,0.0,0.00022,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.02e-07,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-1.74e-05,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-6.16e-07,0.0,0.0,0.001136938,0,0,0,-0.003564676,0,0,0,0.0,-0.000698,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.006927732,0.0,0.0,-6.16e-07,-8.83e-05,0,0.0,0,-2.27e-06,0,0,0,0.0,-2.46e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-6.16e-07,0,0,-2.65e-05,0,-3.39e-05,-1.04e-05,0,0,0,1e-05,0.0,0,0,0.0,-6.16e-07,0.0,0,0.0,0,0,0.00022,0.00022,0.00022,0,0,0.0,0,0.0,0,0.0,0,0,-0.000211,0,0.0,0,0,0,0,0,0,0.0,0.0,-4.79e-05,0,0,0.0,0,0,0,0,0,0,0
753,46,0,0,0,0,0,0.0,0,0,0,0,0,-7.34e-07,0,0,0.0,0.000262,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-1.03e-07,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.07e-05,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.34e-07,0.0,0.0,0.001223329,0,0,0,-0.003759682,0,0,0,0.0,-0.000986,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.007417005,0.0,0.0,-7.34e-07,-0.000106,0,0.0,0,-8.56e-07,0,0,0,0.0,-2.94e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-7.34e-07,0,0,-3.16e-05,0,-4.04e-05,-1.23e-05,0,0,0,1e-05,0.0,0,0,0.0,-7.34e-07,0.0,0,0.0,0,0,0.000262,0.000262,0.000262,0,0,0.0,0,0.0,0,0.0,0,0,-0.000237,0,0.0,0,0,0,0,0,0,0.0,0.0,-5.7e-05,0,0,0.0,0,0,0,0,0,0,0
767,47,0,0,0,0,0,0.0,0,0,0,0,0,-7.93e-07,0,0,0.0,0.000282,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-9.85e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.24e-05,0,-7.93e-07,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.93e-07,0.0,0.0,0.001237153,0,0,0,-0.003751365,0,0,0,0.0,-0.001161855,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.007479287,0.0,0.0,-7.93e-07,-0.000114,0,0.0,0,-1.51e-07,0,0,0,0.0,-3.17e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-7.93e-07,0,0,-3.41e-05,0,-4.37e-05,-1.33e-05,0,0,0,1e-05,0.0,0,0,0.0,-7.93e-07,0.0,0,0.0,0,0,0.000282,0.000282,0.000282,0,0,0.0,0,0.0,0,0.0,0,0,-0.000245,0,0.0,0,0,0,0,0,0,0.0,0.0,-6.16e-05,0,0,0.0,0,0,0,0,0,0,0
781,48,0,0,0,0,0,0.0,0,0,0,0,0,-8.42e-07,0,0,0.0,0.0003,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-9.12e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.38e-05,0,-8.42e-07,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.42e-07,0.0,0.0,0.001246721,0,0,0,-0.003733643,0,0,0,0.0,-0.001314306,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.007514368,0.0,0.0,-8.42e-07,-0.000121,0,0.0,0,4.41e-07,0,0,0,0.0,-3.37e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-8.42e-07,0,0,-3.62e-05,0,-4.64e-05,-1.42e-05,0,0,0,1e-05,0.0,0,0,0.0,-8.42e-07,0.0,0,0.0,0,0,0.0003,0.0003,0.0003,0,0,0.0,0,0.0,0,0.0,0,0,-0.000252,0,0.0,0,0,0,0,0,0,0.0,0.0,-6.54e-05,0,0,0.0,0,0,0,0,0,0,0
795,49,0,0,0,0,0,0.0,0,0,0,0,0,-8.83e-07,0,0,0.0,0.000315,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-8.35e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.5e-05,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-8.83e-07,0.0,0.0,0.001252284,0,0,0,-0.003710533,0,0,0,0.0,-0.001445438,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.007527948,0.0,0.0,-8.83e-07,-0.000127,0,0.0,0,9.38e-07,0,0,0,0.0,-3.53e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-8.83e-07,0,0,-3.8e-05,0,-4.86e-05,-1.49e-05,0,0,0,1e-05,0.0,0,0,0.0,-8.83e-07,0.0,0,0.0,0,0,0.000315,0.000315,0.000315,0,0,0.0,0,0.0,0,0.0,0,0,-0.000259,0,0.0,0,0,0,0,0,0,0.0,0.0,-6.86e-05,0,0,0.0,0,0,0,0,0,0,0
937,50,0,0,0,0,0,0.0,0,0,0,0,0,-9.19e-07,0,0,0.0,0.000328,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-8.02e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.6e-05,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.19e-07,0.0,0.0,0.001255503,0,0,0,-0.00368453,0,0,0,0.0,-0.001560593,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.00753054,0.0,0.0,-9.19e-07,-0.000132,0,0.0,0,1.37e-06,0,0,0,0.0,-3.68e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-9.19e-07,0,0,-3.95e-05,0,-5.06e-05,-1.55e-05,0,0,0,1e-05,0.0,0,0,0.0,-9.19e-07,0.0,0,0.0,0,0,0.000328,0.000328,0.000328,0,0,0.0,0,0.0,0,0.0,0,0,-0.000264,0,0.0,0,0,0,0,0,0,0.0,0.0,-7.14e-05,0,0,0.0,0,0,0,0,0,0,0
951,51,0,0,0,0,0,0.0,0,0,0,0,0,-9.49e-07,0,0,0.0,0.000338,0.0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-7.51e-08,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,-2.68e-05,0,-9.49e-07,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.49e-07,0.0,0.0,0.001254658,0,0,0,-0.003651762,0,0,0,0.0,-0.001657383,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.007513393,0.0,0.0,-9.49e-07,-0.000136,0,0.0,0,1.72e-06,0,0,0,0.0,-3.8e-06,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,-9.49e-07,0,0,-4.08e-05,0,-5.23e-05,-1.6e-05,0,0,0,1e-05,0.0,0,0,0.0,-9.49e-07,0.0,0,0.0,0,0,0.000338,0.000338,0.000338,0,0,0.0,0,0.0,0,0.0,0,0,-0.000267,0,0.0,0,0,0,0,0,0,0.0,0.0,-7.37e-05,0,0,0.0,0,0,0,0,0,0,0
