,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd15466,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd01757,cpd00311,cpd00314,cpd00797,N2A24D5MH4U15P_c0,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03726,cpd03725,cpd00218,cpd00224,cpd00226,cpd00105,cpd00104,cpd00588,cpd00220,cpd00222,cpd00100,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd00208,cpd03724,cpd00215,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd01329,cpd00118,cpd00239,cpd00117,cpd00119,cpd00246,cpd00367,cpd00127,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00229,cpd00355,cpd00116,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00028,cpd00027,cpd00264,cpd00142,cpd00024,cpd00266,cpd00023,cpd00386,cpd00381,cpd00141,cpd00020,cpd00129,cpd00128,cpd00249,cpd00007,cpd00009,cpd00136,cpd00017,cpd00138,cpd00137,cpd00132,cpd00011,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd00048,cpd01017,cpd00047,cpd00164,cpd01012,cpd00166,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd00036,cpd01007,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00393,cpd15559,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd03453,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd00063,cpd00184,cpd01030,cpd00060,cpd00180,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd00731,cpd01024,cpd00176,cpd00054,cpd02233,cpd01262,cpd00051,cpd04099,cpd00053,cpd04098,cpd04097,cpd15573,cpd15574,cpd00635,cpd00637,cpd02701,cpd00644,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd15560,cpd15561,cpd00751,cpd00076,cpd00073,cpd00075
703,42,0,0,0,0,0,0.0,0,0,0,0,0,-2.4e-06,0,0,0.0,0.000774,0.0,0,0,0,0.0,0,0.0,-0.000187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000172,0,-6.13e-05,0,0.0,0,0,0.0,0.004363469,0,0,0,0,0,0,0,-0.00029,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.4e-06,0.0,0.000293,0.0,0,0,0,-0.002363929,0,0,0,0.0,0.0,0.0,0,0,-0.000628,0,0.0,0.0,0,0.0,0.001438638,0.0,0.002626074,-2.4e-06,0.0,0,0.0,0,3e-05,0,0,0,0.0,0.0,0.0,0,0,-9.58e-06,0,0.0,0,0,0,0.0,-0.002363929,0,0,0.0,0,0,0,0,-0.000277,0.0,0,0,-2.4e-06,0.0,-2.4e-06,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-2.4e-06,0.0,0,0.0,0,0,0.000774,0.000774,0.000774,0,0,-2.4e-06,0,0.0,0,0.0,0,0,0.0,0,-0.000614,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
717,43,0,0,0,0,0,0.0,0,0,0,0,0,-4.84e-06,0,0,0.0,0.001562983,0.0,0,0,0,0.0,0,0.0,-0.000378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.84e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000348,0,-0.000124,0,0.0,0,0,0.0,0.008685204,0,0,0,0,0,0,0,-0.000587,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-4.84e-06,0.0,0.000383,-4.84e-06,0,0,0,-0.003848564,0,0,0,0.0,0.0,0.0,0,0,-0.001269118,0,0.0,0.0,0,0.0,0.002845133,0.0,0.00572506,-4.84e-06,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-1.94e-05,0,0.0,0,0,0,0.0,-0.004674109,0,0,0.0,0,0,0,0,-0.00056,0.0,0,0,-4.84e-06,0.0,-4.84e-06,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-4.84e-06,0.0,0,0.0,0,0,0.001562983,0.001562983,0.001562983,0,0,-4.84e-06,0,0.0,0,0.0,0,0,0.0,0,-0.002006546,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
731,44,0,0,0,0,0,0.0,0,0,0,0,0,-7.37e-06,0,0,0.0,0.002381023,0.0,0,0,0,0.0,0,0.0,-0.000576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-7.37e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.00053,0,-0.000189,0,0.0,0,0,0.0,0.013075208,0,0,0,0,0,0,0,-0.000894,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-7.37e-06,0.0,0.000367,-7.37e-06,0,0,0,-0.004949232,0,0,0,0.0,0.0,0.0,0,0,-0.001933353,0,0.0,0.0,0,0.0,0.0043038,0.0,0.009151419,-7.37e-06,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-2.95e-05,0,0.0,0,0,0,0.0,-0.007001157,0,0,0.0,0,0,0,0,-0.000853,0.0,0,0,-7.37e-06,0.0,-7.37e-06,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-7.37e-06,0.0,0,0.0,0,0,0.002381023,0.002381023,0.002381023,0,0,-7.37e-06,0,0.0,0,0.0,0,0,0.0,0,-0.003847823,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
745,45,0,0,0,0,0,0.0,0,0,0,0,0,-9.91e-06,0,0,0.0,0.003201842,0.0,0,0,0,0.0,0,0.0,-0.000774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-9.91e-06,0,0,0,0.0,0,0,0,0,0,0.0,-0.000712,0,-0.000254,0,0.0,0,0,0.0,0.017095278,0,0,0,0,0,0,0,-0.001201936,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-9.91e-06,0.0,0.000471,-9.91e-06,0,0,0,-0.00607026,0,0,0,0.0,0.0,0.0,0,0,-0.002599846,0,0.0,0.0,0,0.0,0.005767424,0.0,0.012828282,-9.91e-06,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-3.97e-05,0,0.0,0,0,0,0.0,-0.009409108,0,0,0.0,0,0,0,0,-0.001147624,0.0,0,0,-9.91e-06,0.0,-9.91e-06,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-9.91e-06,0.0,0,0.0,0,0,0.003201842,0.003201842,0.003201842,0,0,-9.91e-06,0,0.0,0,0.0,0,0,0.0,0,-0.005733483,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
759,46,0,0,0,0,0,0.0,0,0,0,0,0,-1.24e-05,0,0,0.0,0.004014927,0.0,0,0,0,0.0,0,0.0,-0.000971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.24e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.000893,0,-0.000318,0,0.0,0,0,0.0,0.020433111,0,0,0,0,0,0,0,-0.001507159,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.24e-05,0.0,0.000824,-1.24e-05,0,0,0,-0.007386426,0,0,0,0.0,0.0,0.0,0,0,-0.003260058,0,0.0,0.0,0,0.0,0.007217255,0.0,0.016805739,-1.24e-05,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-4.97e-05,0,0.0,0,0,0,0.0,-0.011948922,0,0,0.0,0,0,0,0,-0.001439055,0.0,0,0,-1.24e-05,0.0,-1.24e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-1.24e-05,0.0,0,0.0,0,0,0.004014927,0.004014927,0.004014927,0,0,-1.24e-05,0,0.0,0,0.0,0,0,0.0,0,-0.007511589,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
773,47,0,0,0,0,0,0.0,0,0,0,0,0,-1.42e-05,0,0,0.0,0.004575039,0.0,0,0,0,0.0,0,0.0,-0.001106238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001018068,0,-0.000363,0,0.0,0,0,0.0,0.018009035,0,0,0,0,0,0,0,-0.001717419,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.42e-05,0.0,0.002636448,-1.42e-05,0,0,0,-0.008879169,0,0,0,0.0,0.0,0.0,0,0,-0.00371486,0,0.0,0.0,0,0.0,0.008216006,0.0,0.022338403,-1.42e-05,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-5.67e-05,0,0.0,0,0,0,0.0,-0.014663897,0,0,0.0,0,0,0,0,-0.001639814,0.0,0,0,-1.42e-05,0.0,-1.42e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-1.42e-05,0.0,0,0.0,0,0,0.004575039,0.004575039,0.004575039,0,0,-1.42e-05,0,0.0,0,0.0,0,0,0.0,0,-0.00887443,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
787,48,0,0,0,0,0,0.0,0,0,0,0,0,-1.6e-05,0,0,0.0,0.00516743,0.0,0,0,0,0.0,0,0.0,-0.001249477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001149891,0,-0.00041,0,0.0,0,0,0.0,0.015397999,0,0,0,0,0,0,0,-0.001939795,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.6e-05,0.0,0.00458422,-1.6e-05,0,0,0,-0.010515913,0,0,0,0.0,0.0,0.0,0,0,-0.004195872,0,0.0,0.0,0,0.0,0.009272312,0.0,0.028198894,-1.6e-05,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-6.4e-05,0,0.0,0,0,0,0.0,-0.017554463,0,0,0.0,0,0,0,0,-0.001852142,0.0,0,0,-1.6e-05,0.0,-1.6e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-1.6e-05,0.0,0,0.0,0,0,0.00516743,0.00516743,0.00516743,0,0,-1.6e-05,0,0.0,0,0.0,0,0,0.0,0,-0.010272181,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
801,49,0,0,0,0,0,0.0,0,0,0,0,0,-1.8e-05,0,0,0.0,0.005797043,0.0,0,0,0,0.0,0,0.0,-0.001401716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001289997,0,-0.000459,0,0.0,0,0,0.0,0.012547705,0,0,0,0,0,0,0,-0.002176145,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-1.8e-05,0.0,0.006685063,-1.8e-05,0,0,0,-0.012284154,0,0,0,0.0,0.0,0.0,0,0,-0.004707108,0,0.0,0.0,0,0.0,0.010394991,0.0,0.034465061,-1.8e-05,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-7.18e-05,0,0.0,0,0,0,0.0,-0.02064554,0,0,0.0,0,0,0,0,-0.002077812,0.0,0,0,-1.8e-05,0.0,-1.8e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-1.8e-05,0.0,0,0.0,0,0,0.005797043,0.005797043,0.005797043,0,0,-1.8e-05,0,0.0,0,0.0,0,0,0.0,0,-0.011743269,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
943,50,0,0,0,0,0,0.0,0,0,0,0,0,-2e-05,0,0,0.0,0.006457381,0.0,0,0,0,0.0,0,0.0,-0.001561385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.00143694,0,-0.000512,0,0.0,0,0,0.0,0.009091138,0,0,0,0,0,0,0,-0.002424029,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2e-05,0.0,0.009005394,-2e-05,0,0,0,-0.014067401,0,0,0,0.0,0.0,0.0,0,0,-0.005243292,0,0.0,0.0,0,0.0,0.011572456,0.0,0.041360229,-2e-05,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-8e-05,0,0.0,0,0,0,0.0,-0.023959439,0,0,0.0,0,0,0,0,-0.002314494,0.0,0,0,-2e-05,0.0,-2e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-2e-05,0.0,0,0.0,0,0,0.006457381,0.006457381,0.006457381,0,0,-2e-05,0,0.0,0,0.0,0,0,0.0,0,-0.013411413,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
957,51,0,0,0,0,0,0.0,0,0,0,0,0,-2.22e-05,0,0,0.0,0.007155986,0.0,0,0,0,0.0,0,0.0,-0.001730307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.22e-05,0,0,0,0.0,0,0,0,0,0,0.0,-0.001592398,0,-0.000567,0,0.0,0,0,0.0,0.005034587,0,0,0,0,0,0,0,-0.002686277,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,-2.22e-05,0.0,0.011547084,-2.22e-05,0,0,0,-0.015848414,0,0,0,0.0,0.0,0.0,0,0,-0.005810548,0,0.0,0.0,0,0.0,0.012818157,0.0,0.048947708,-2.22e-05,0.0,0,0.0,0,1e-05,0,0,0,0.0,0.0,0.0,0,0,-8.86e-05,0,0.0,0,0,0,0.0,-0.027518855,0,0,0.0,0,0,0,0,-0.002564892,0.0,0,0,-2.22e-05,0.0,-2.22e-05,0,0,0.0,0,0.0,0.0,0,0,0,1e-05,0.0,0,0,0.0,-2.22e-05,0.0,0,0.0,0,0,0.007155986,0.007155986,0.007155986,0,0,-2.22e-05,0,0.0,0,0.0,0,0,0.0,0,-0.015321908,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0
