Organism	Media_addition	BM	Formic	Acetate	Propionate	Isobutyrate	h2	co2	O2	Methane	Potential_Formic	Potential_Acetate	Potential_Propionate
Magnetospirillum_magneticum	none	8.33E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd04450:xylene;cpd01034:Toluene;cpd04383:Ethylbenzene;cpd01007:Benzene	5.552397701	0	0	0	0	165.8513957	5.552297701	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00039:Lysine	-9.71E-14	0	0	0	0	0	-9.71E-14	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00211:butyrate	4.958267137	0	0	0	0	108.0882504	4.958167137	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00027:glucose	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00211:Butyrate	4.958267137	0	0	0	0	108.0882504	4.958167137	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd04450:xylene	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00029:Acetate;cpd10516:Fe3	2.479133568	0	-49.99798317	0	0	13.14301992	2.479033568	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00221:lactate	3.718700352	0	0	0	0	35.80896228	3.718600352	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd01034:Toluene	5.552397701	0	0	0	0	161.8303359	5.552297701	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00067:h2;cpd00011:co2;cpd00047:Formic	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd01007:Benzene	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00020:pyruvate	3.718700352	0	0	0	0	13.66014499	3.72263402	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00130:malate	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00023:glutomate	8.33E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00035:Alanine	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00027:glucose	8.33E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00067:h2;cpd00011:co2;cpd01711:Isobutyrate	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00041:aspartate	8.33E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00041:Aspartate	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd04450:xylene;cpd01034:Toluene;cpd04383:Ethylbenzene;cpd01007:Benzene;cpd10516:Fe3;cpd00209:NO3;cpd00048:SO4	11.67609453	0	0	0	0	28.31322833	11.67599453	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd01711:Isobutyrate	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd04450:xylene;cpd01034:Toluene;cpd04383:Ethylbenzene;cpd01007:Benzene;cpd10516:Fe3;cpd00209:NO3;cpd00007:O2;cpd00048:SO4	11.67609453	0	0	0	0	28.31322833	11.67599453	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00067:h2;cpd00011:co2;cpd00141:Propionate	3.718700352	0	0	-49.99865544	0	41.4800409	3.718600352	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00067:h2;cpd00011:co2	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd04383:Ethylbenzene	5.552397701	0	0	0	0	182.1526037	5.552297701	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00106:fumarate	4.958267137	0	0	0	0	-4.763671735	4.962200802	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00067:h2;cpd00011:co2;cpd00029:Acetate	2.479133568	0	-49.99798317	0	0	13.14301992	2.479033568	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00054:Serine	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00011:CO2	8.33E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00029:Acetate	2.479133568	0	-49.99798317	0	0	13.14301992	2.479033568	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00047:Formic	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00156:Vanine	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	1000
Magnetospirillum_magneticum	cpd00013:nh4;cpd00141:Propionate	3.718700352	0	0	-49.99865544	0	41.4800409	3.718600352	0	0	1000	1000	1000
Desulfomicrobium_baculatum	none	-2.71E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd04450:xylene;cpd01034:Toluene;cpd04383:Ethylbenzene;cpd01007:Benzene	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00039:Lysine	3.47E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00211:butyrate	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00027:glucose	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00211:Butyrate	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd04450:xylene	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00029:Acetate;cpd10516:Fe3	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00221:lactate	3.319318423	0	0	0	0	-4.045895565	3.319218423	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd01034:Toluene	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00067:h2;cpd00011:co2;cpd00047:Formic	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd01007:Benzene	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00020:pyruvate	3.319318423	0	0	0	0	-0.998089837	3.323737422	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00130:malate	4.425757898	0.004518996	0	0	0	-4.969732968	4.425657898	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00023:glutomate	-2.71E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
Desulfomicrobium_baculatum	cpd00013:nh4;cpd00035:Alanine	-1.39E-14	0	0	0	0	0	0	0	0	1000	1000	889.2857143
